rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:59:17,106719.0,0,1,B,1,發短球,,1.0,2.0,,,,2.0,7.0,619.0,415.0,,,,,8.0,651.0,531.0,8.0,586.0,350.0,0
1,2.0,00:59:18,106745.0,0,1,A,2,挑球,,,2.0,7.0,619.0,415.0,1.0,4.0,401.0,628.0,,,,,8.0,621.0,383.0,8.0,656.0,523.0,0
1,3.0,00:59:19,106781.0,0,1,B,2,點扣,1.0,,1.0,4.0,401.0,628.0,2.0,5.0,465.0,356.0,,,,,8.0,568.0,586.0,8.0,572.0,363.0,0
1,4.0,00:59:19,106799.0,0,1,A,2,防守回抽,,,2.0,5.0,465.0,356.0,1.0,6.0,434.0,545.0,,,,,8.0,525.0,353.0,8.0,544.0,592.0,0
1,5.0,00:59:20,106818.0,0,1,B,2,擋小球,,1.0,1.0,6.0,434.0,545.0,2.0,2.0,779.0,396.0,,,,,8.0,509.0,542.0,8.0,548.0,355.0,0
1,6.0,00:59:21,106846.0,0,1,A,2,放小球,,1.0,2.0,2.0,779.0,396.0,1.0,7.0,721.0,460.0,,,,,8.0,747.0,383.0,8.0,614.0,535.0,0
1,7.0,00:59:22,106869.0,0,1,B,3,撲球,,,1.0,7.0,721.0,460.0,2.0,9.0,701.0,326.0,對手落地致勝,落地致勝,B,,7.0,689.0,489.0,8.0,697.0,378.0,0
2,1.0,00:59:38,107342.0,1,1,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
2,2.0,00:59:38,107361.0,1,1,A,2,放小球,,,2.0,,,,2.0,7.0,730.0,461.0,,,,,7.0,710.0,403.0,8.0,647.0,535.0,0
2,3.0,00:59:39,107382.0,1,1,B,2,挑球,,,2.0,7.0,730.0,461.0,1.0,3.0,508.0,319.0,,,,,7.0,693.0,480.0,8.0,678.0,387.0,0
2,4.0,00:59:40,107416.0,1,1,A,2,過渡切球,,,1.0,3.0,508.0,319.0,2.0,6.0,477.0,528.0,,,,,8.0,550.0,330.0,8.0,619.0,540.0,0
2,5.0,00:59:41,107430.0,1,1,B,2,放小球,,1.0,2.0,6.0,477.0,528.0,2.0,6.0,797.0,380.0,,,,,8.0,599.0,552.0,8.0,552.0,346.0,0
2,6.0,00:59:42,107478.0,1,1,A,2,放小球,,1.0,2.0,6.0,797.0,380.0,2.0,1.0,790.0,461.0,,,,,8.0,753.0,377.0,8.0,654.0,551.0,0
2,7.0,00:59:42,107482.0,1,1,B,2,挑球,,,2.0,1.0,790.0,461.0,1.0,9.0,550.0,316.0,,,,,7.0,748.0,498.0,8.0,697.0,369.0,0
2,8.0,00:59:44,107520.0,1,1,A,2,點扣,,,1.0,9.0,550.0,316.0,2.0,6.0,434.0,552.0,,,,,9.0,608.0,321.0,8.0,660.0,557.0,0
2,9.0,00:59:44,107537.0,1,1,B,2,擋小球,,1.0,2.0,6.0,434.0,552.0,1.0,7.0,614.0,408.0,,,,,8.0,645.0,575.0,9.0,536.0,317.0,0
2,10.0,00:59:45,107559.0,1,1,A,2,撲球,,1.0,1.0,7.0,614.0,408.0,2.0,8.0,725.0,543.0,,,,,8.0,611.0,394.0,8.0,594.0,558.0,0
2,11.0,00:59:45,107571.0,1,1,B,2,擋小球,,,2.0,8.0,725.0,543.0,1.0,8.0,610.0,392.0,,,,,8.0,669.0,571.0,8.0,624.0,392.0,0
2,12.0,00:59:46,107584.0,1,1,A,2,撲球,,,1.0,8.0,610.0,392.0,2.0,8.0,649.0,542.0,,,,,8.0,606.0,375.0,8.0,692.0,569.0,0
2,13.0,00:59:46,107594.0,1,1,B,2,擋小球,,,2.0,8.0,649.0,542.0,1.0,7.0,653.0,402.0,,,,,8.0,671.0,566.0,8.0,591.0,375.0,0
2,14.0,00:59:46,107609.0,1,1,A,2,平球,,,1.0,7.0,653.0,402.0,1.0,8.0,497.0,542.0,,,,,8.0,597.0,360.0,8.0,643.0,557.0,0
2,15.0,00:59:47,107623.0,1,1,B,2,擋小球,,1.0,1.0,8.0,497.0,542.0,2.0,7.0,573.0,408.0,,,,,8.0,645.0,566.0,8.0,596.0,371.0,0
2,16.0,00:59:48,107648.0,1,1,A,2,放小球,,,2.0,7.0,573.0,408.0,2.0,7.0,654.0,465.0,,,,,8.0,601.0,384.0,8.0,638.0,554.0,0
2,17.0,00:59:49,107681.0,1,1,B,2,挑球,,1.0,2.0,7.0,654.0,465.0,1.0,4.0,756.0,314.0,,,,,7.0,669.0,488.0,8.0,645.0,385.0,0
2,18.0,00:59:50,107719.0,1,1,A,2,長球,,,1.0,4.0,756.0,314.0,1.0,3.0,856.0,634.0,,,,,9.0,721.0,329.0,8.0,684.0,544.0,0
2,19.0,00:59:51,107752.0,1,1,B,2,點扣,,,1.0,3.0,856.0,634.0,2.0,5.0,479.0,356.0,,,,,3.0,832.0,621.0,8.0,685.0,347.0,0
2,20.0,00:59:52,107771.0,1,1,A,2,擋小球,,,2.0,5.0,479.0,356.0,2.0,8.0,550.0,518.0,,,,,8.0,563.0,363.0,8.0,795.0,609.0,0
2,21.0,00:59:53,107794.0,1,1,B,2,挑球,,1.0,2.0,8.0,550.0,518.0,1.0,8.0,656.0,335.0,,,,,8.0,578.0,546.0,8.0,546.0,361.0,0
2,22.0,00:59:54,107823.0,1,1,A,2,擋小球,,,1.0,8.0,656.0,335.0,2.0,5.0,795.0,566.0,,,,,8.0,636.0,354.0,8.0,685.0,560.0,0
2,23.0,00:59:54,107834.0,1,1,B,2,擋小球,,,2.0,5.0,795.0,566.0,2.0,2.0,790.0,417.0,,,,,8.0,712.0,573.0,8.0,636.0,345.0,0
2,24.0,00:59:55,107860.0,1,1,A,2,放小球,,1.0,2.0,2.0,790.0,417.0,2.0,2.0,444.0,475.0,,,,,8.0,752.0,392.0,8.0,692.0,563.0,0
2,25.0,00:59:56,107890.0,1,1,B,2,挑球,,1.0,2.0,2.0,444.0,475.0,1.0,3.0,501.0,320.0,,,,,7.0,504.0,494.0,8.0,661.0,370.0,0
2,26.0,00:59:57,107921.0,1,1,A,2,殺球,,,1.0,3.0,501.0,320.0,2.0,6.0,399.0,580.0,,,,,8.0,585.0,335.0,8.0,574.0,538.0,0
2,27.0,00:59:57,107933.0,1,1,B,2,擋小球,,1.0,2.0,6.0,399.0,580.0,2.0,1.0,440.0,433.0,,,,,8.0,628.0,553.0,3.0,523.0,315.0,0
2,28.0,00:59:59,107972.0,1,1,A,2,放小球,,,2.0,1.0,440.0,433.0,2.0,2.0,440.0,459.0,,,,,1.0,471.0,411.0,8.0,550.0,581.0,0
2,29.0,01:00:00,108002.0,1,1,B,2,放小球,,1.0,2.0,2.0,440.0,459.0,1.0,2.0,783.0,439.0,,,,,2.0,481.0,475.0,1.0,469.0,403.0,0
2,30.0,01:00:00,108028.0,1,1,A,3,推球,,1.0,1.0,2.0,783.0,439.0,2.0,6.0,466.0,596.0,對手落地致勝,落地致勝,A,,7.0,618.0,419.0,7.0,506.0,473.0,0
3,1.0,01:00:42,109288.0,2,1,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
3,2.0,01:00:44,109326.0,2,1,B,2,推球,,,2.0,,,,1.0,8.0,745.0,366.0,,,,,7.0,562.0,505.0,8.0,619.0,370.0,0
3,3.0,01:00:44,109338.0,2,1,A,2,平球,,1.0,1.0,8.0,745.0,366.0,1.0,5.0,816.0,548.0,,,,,8.0,597.0,362.0,7.0,587.0,500.0,0
3,4.0,01:00:45,109353.0,2,1,B,2,長球,,,1.0,5.0,816.0,548.0,1.0,4.0,784.0,321.0,,,,,8.0,663.0,539.0,8.0,657.0,370.0,0
3,5.0,01:00:46,109386.0,2,1,A,2,殺球,,,1.0,4.0,784.0,321.0,2.0,8.0,706.0,538.0,,,,,4.0,750.0,329.0,8.0,769.0,556.0,0
3,6.0,01:00:46,109397.0,2,1,B,3,擋小球,,1.0,2.0,8.0,706.0,538.0,2.0,10.0,882.0,396.0,出界,對手出界,A,,8.0,753.0,559.0,9.0,739.0,326.0,0
4,1.0,01:01:06,110007.0,3,1,A,1,未知球種,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,0
4,2.0,01:01:08,110041.0,3,1,B,2,長球,,,1.0,,,,1.0,4.0,791.0,322.0,,,,,3.0,824.0,632.0,8.0,620.0,364.0,0
4,3.0,01:01:09,110073.0,3,1,A,2,長球,,,1.0,4.0,791.0,322.0,1.0,9.0,757.0,631.0,,,,,8.0,727.0,352.0,8.0,738.0,580.0,0
4,4.0,01:01:10,110127.0,3,1,B,2,長球,,,1.0,9.0,757.0,631.0,1.0,5.0,498.0,331.0,,,,,9.0,757.0,631.0,8.0,620.0,352.0,0
4,5.0,01:01:11,110146.0,3,1,A,2,切球,,,1.0,5.0,498.0,331.0,2.0,2.0,464.0,476.0,,,,,8.0,573.0,358.0,8.0,686.0,595.0,0
4,6.0,01:01:12,110167.0,3,1,B,2,挑球,,1.0,2.0,2.0,464.0,476.0,1.0,3.0,498.0,318.0,,,,,2.0,494.0,501.0,8.0,546.0,362.0,0
4,7.0,01:01:13,110206.0,3,1,A,2,切球,,,1.0,3.0,498.0,318.0,2.0,1.0,853.0,500.0,,,,,9.0,545.0,327.0,8.0,599.0,546.0,0
4,8.0,01:01:14,110231.0,3,1,B,2,放小球,,,2.0,1.0,853.0,500.0,1.0,2.0,838.0,421.0,,,,,5.0,786.0,515.0,9.0,606.0,328.0,0
4,9.0,01:01:15,110258.0,3,1,A,2,放小球,,1.0,1.0,2.0,838.0,421.0,2.0,2.0,447.0,469.0,,,,,6.0,799.0,391.0,8.0,762.0,546.0,0
4,10.0,01:01:16,110283.0,3,1,B,2,放小球,,1.0,2.0,2.0,447.0,469.0,2.0,7.0,527.0,438.0,,,,,7.0,505.0,496.0,2.0,777.0,396.0,0
4,11.0,01:01:17,110310.0,3,1,A,2,放小球,,,2.0,7.0,527.0,438.0,1.0,2.0,483.0,455.0,,,,,7.0,576.0,421.0,7.0,581.0,503.0,0
4,12.0,01:01:17,110331.0,3,1,B,3,撲球,,1.0,1.0,2.0,483.0,455.0,2.0,7.0,546.0,444.0,掛網,對手掛網,A,,7.0,505.0,459.0,7.0,565.0,425.0,0
5,1.0,01:01:53,111418.0,3,2,A,1,未知球種,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,0
5,2.0,01:01:55,111457.0,3,2,B,2,點扣,,,1.0,,,,2.0,6.0,786.0,364.0,,,,,8.0,571.0,592.0,8.0,599.0,371.0,0
5,3.0,01:01:55,111475.0,3,2,A,2,擋小球,,1.0,2.0,6.0,786.0,364.0,2.0,1.0,794.0,466.0,,,,,8.0,611.0,373.0,8.0,637.0,617.0,0
5,4.0,01:01:56,111506.0,3,2,B,2,挑球,,,2.0,1.0,794.0,466.0,1.0,8.0,541.0,334.0,,,,,7.0,745.0,486.0,8.0,691.0,359.0,0
5,5.0,01:01:57,111527.0,3,2,A,3,殺球,,,1.0,8.0,541.0,334.0,2.0,1.0,501.0,446.0,掛網,對手掛網,B,,8.0,618.0,348.0,7.0,734.0,507.0,0
6,1.0,01:02:19,112171.0,4,2,B,1,未知球種,,,2.0,,,,,,,,,,,1.0,,,,,,,0
6,2.0,01:02:19,112171.0,4,2,A,2,未知球種,,,,,,,2.0,,,,,,,1.0,,,,,,,0
6,3.0,01:02:19,112173.0,4,2,B,3,放小球,,,2.0,,,,2.0,1.0,823.0,449.0,掛網,對手掛網,A,,7.0,638.0,482.0,8.0,641.0,379.0,0
7,1.0,01:02:36,112706.0,5,2,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
7,2.0,01:02:38,112747.0,5,2,B,3,挑球,,,2.0,,,,2.0,13.0,799.0,300.0,出界,對手出界,A,,8.0,668.0,514.0,8.0,613.0,370.0,0
