rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:05:11,9346.0,1,0,B,1,發短球,,1.0,2.0,,,,2.0,8.0,715.0,508.0,,,,,8.0,621.0,370.0,8.0,724.0,540.0,0
1,2.0,00:05:12,9367.0,1,0,A,2,推球,,,2.0,8.0,715.0,508.0,1.0,3.0,465.0,313.0,,,,,8.0,691.0,517.0,8.0,648.0,364.0,0
1,3.0,00:05:13,9399.0,1,0,B,3,後場抽平球,,,1.0,3.0,465.0,313.0,2.0,12.0,334.0,618.0,出界,對手出界,A,,9.0,546.0,323.0,8.0,598.0,560.0,0
2,1.0,00:05:25,9767.0,2,0,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
2,2.0,00:05:26,9797.0,2,0,B,2,放小球,,1.0,2.0,,,,2.0,6.0,410.0,508.0,,,,,7.0,624.0,399.0,8.0,644.0,512.0,0
2,3.0,00:05:27,9826.0,2,0,A,2,挑球,,1.0,2.0,6.0,410.0,508.0,1.0,4.0,766.0,320.0,,,,,6.0,489.0,514.0,8.0,606.0,379.0,0
2,4.0,00:05:28,9856.0,2,0,B,2,點扣,1.0,,1.0,4.0,766.0,320.0,2.0,5.0,838.0,555.0,,,,,8.0,650.0,346.0,8.0,640.0,551.0,0
2,5.0,00:05:28,9869.0,2,0,A,2,擋小球,,,2.0,5.0,838.0,555.0,2.0,6.0,779.0,387.0,,,,,8.0,707.0,582.0,8.0,704.0,326.0,0
2,6.0,00:05:29,9895.0,2,0,B,2,挑球,,1.0,2.0,6.0,779.0,387.0,1.0,3.0,813.0,626.0,,,,,7.0,733.0,390.0,8.0,757.0,559.0,0
2,7.0,00:05:31,9935.0,2,0,A,3,點扣,,,1.0,3.0,813.0,626.0,2.0,5.0,451.0,369.0,對手落地致勝,落地致勝,A,,8.0,761.0,605.0,8.0,615.0,357.0,0
3,1.0,00:05:48,10458.0,2,1,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
3,2.0,00:05:48,10458.0,2,1,B,2,挑球,,,2.0,,,,1.0,3.0,849.0,622.0,,,,,7.0,515.0,404.0,8.0,624.0,538.0,0
3,3.0,00:05:49,10485.0,2,1,A,2,過渡切球,,,1.0,3.0,849.0,622.0,2.0,1.0,450.0,397.0,,,,,3.0,817.0,627.0,8.0,621.0,369.0,0
3,4.0,00:05:50,10514.0,2,1,B,2,放小球,,,2.0,1.0,450.0,397.0,2.0,2.0,438.0,475.0,,,,,7.0,514.0,394.0,8.0,685.0,565.0,0
3,5.0,00:05:51,10544.0,2,1,A,2,推球,,1.0,2.0,2.0,438.0,475.0,1.0,3.0,484.0,321.0,,,,,7.0,503.0,499.0,8.0,554.0,375.0,0
3,6.0,00:05:52,10572.0,2,1,B,2,過渡切球,,,1.0,3.0,484.0,321.0,2.0,7.0,776.0,503.0,,,,,8.0,525.0,335.0,8.0,594.0,536.0,0
3,7.0,00:05:53,10599.0,2,1,A,2,放小球,,,2.0,7.0,776.0,503.0,2.0,2.0,826.0,399.0,,,,,8.0,728.0,535.0,8.0,597.0,355.0,0
3,8.0,00:05:54,10633.0,2,1,B,2,放小球,,1.0,2.0,2.0,826.0,399.0,2.0,1.0,841.0,474.0,,,,,2.0,783.0,403.0,8.0,694.0,524.0,0
3,9.0,00:05:55,10665.0,2,1,A,2,挑球,,,2.0,1.0,841.0,474.0,1.0,4.0,802.0,318.0,,,,,1.0,808.0,501.0,8.0,723.0,386.0,0
3,10.0,00:05:56,10703.0,2,1,B,2,殺球,1.0,,1.0,4.0,802.0,318.0,2.0,5.0,812.0,550.0,,,,,8.0,701.0,326.0,8.0,725.0,553.0,0
3,11.0,00:05:57,10715.0,2,1,A,2,擋小球,,,2.0,5.0,812.0,550.0,2.0,5.0,493.0,385.0,,,,,8.0,711.0,570.0,8.0,727.0,325.0,0
3,12.0,00:05:58,10746.0,2,1,B,2,挑球,,,2.0,5.0,493.0,385.0,1.0,9.0,780.0,622.0,,,,,8.0,561.0,376.0,8.0,650.0,563.0,0
3,13.0,00:05:59,10777.0,2,1,A,2,點扣,,,1.0,9.0,780.0,622.0,2.0,6.0,807.0,346.0,,,,,8.0,706.0,609.0,8.0,608.0,365.0,0
3,14.0,00:05:59,10789.0,2,1,B,2,擋小球,,1.0,2.0,6.0,807.0,346.0,2.0,8.0,562.0,579.0,,,,,8.0,609.0,354.0,9.0,770.0,619.0,0
3,15.0,00:06:00,10814.0,2,1,A,2,放小球,,1.0,2.0,8.0,562.0,579.0,2.0,7.0,719.0,391.0,,,,,8.0,720.0,584.0,8.0,642.0,372.0,0
3,16.0,00:06:01,10842.0,2,1,B,2,推球,,1.0,2.0,7.0,719.0,391.0,2.0,3.0,880.0,631.0,,,,,7.0,668.0,395.0,8.0,640.0,531.0,0
3,17.0,00:06:02,10877.0,2,1,A,2,後場抽平球,,,2.0,3.0,880.0,631.0,2.0,6.0,815.0,347.0,,,,,3.0,825.0,643.0,8.0,665.0,385.0,0
3,18.0,00:06:03,10894.0,2,1,B,2,擋小球,,1.0,2.0,6.0,815.0,347.0,2.0,7.0,752.0,497.0,,,,,8.0,647.0,364.0,9.0,765.0,638.0,0
3,19.0,00:06:03,10917.0,2,1,A,2,推球,,,2.0,7.0,752.0,497.0,1.0,3.0,484.0,316.0,,,,,8.0,729.0,525.0,8.0,666.0,364.0,0
3,20.0,00:06:05,10952.0,2,1,B,2,過渡切球,,,1.0,3.0,484.0,316.0,2.0,2.0,442.0,501.0,,,,,8.0,529.0,331.0,8.0,642.0,566.0,0
3,21.0,00:06:05,10974.0,2,1,A,2,推球,,1.0,2.0,2.0,442.0,501.0,1.0,8.0,743.0,349.0,,,,,6.0,477.0,532.0,8.0,539.0,335.0,0
3,22.0,00:06:06,10999.0,2,1,B,3,點扣,1.0,,1.0,8.0,743.0,349.0,2.0,9.0,595.0,647.0,對手落地致勝,落地致勝,B,,8.0,626.0,361.0,8.0,647.0,556.0,0
4,1.0,00:06:53,12405.0,3,1,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
4,2.0,00:06:54,12421.0,3,1,A,2,推球,,,2.0,,,,1.0,5.0,520.0,335.0,,,,,7.0,584.0,500.0,8.0,635.0,375.0,0
4,3.0,00:06:54,12445.0,3,1,B,2,點扣,,,1.0,5.0,520.0,335.0,2.0,6.0,480.0,555.0,,,,,8.0,580.0,344.0,8.0,591.0,526.0,0
4,4.0,00:06:55,12456.0,3,1,A,2,點扣,,1.0,2.0,6.0,480.0,555.0,2.0,6.0,765.0,347.0,,,,,8.0,645.0,567.0,5.0,512.0,345.0,0
4,5.0,00:06:56,12482.0,3,1,B,2,擋小球,,1.0,2.0,6.0,765.0,347.0,1.0,1.0,845.0,468.0,,,,,8.0,682.0,352.0,8.0,641.0,560.0,0
4,6.0,00:06:57,12510.0,3,1,A,2,放小球,,,1.0,1.0,845.0,468.0,2.0,2.0,808.0,407.0,,,,,1.0,803.0,504.0,8.0,696.0,378.0,0
4,7.0,00:06:57,12537.0,3,1,B,2,挑球,,1.0,2.0,2.0,808.0,407.0,1.0,3.0,843.0,636.0,,,,,2.0,771.0,392.0,8.0,698.0,529.0,0
4,8.0,00:06:59,12576.0,3,1,A,2,過渡切球,,,1.0,3.0,843.0,636.0,2.0,6.0,836.0,381.0,,,,,9.0,781.0,641.0,8.0,655.0,379.0,0
4,9.0,00:06:59,12599.0,3,1,B,2,放小球,,1.0,2.0,6.0,836.0,381.0,2.0,1.0,800.0,462.0,,,,,6.0,771.0,367.0,8.0,710.0,579.0,0
4,10.0,00:07:00,12625.0,3,1,A,2,放小球,,,2.0,1.0,800.0,462.0,2.0,2.0,831.0,416.0,,,,,7.0,771.0,487.0,8.0,683.0,375.0,0
4,11.0,00:07:01,12654.0,3,1,B,3,放小球,,1.0,2.0,2.0,831.0,416.0,2.0,16.0,897.0,492.0,出界,對手出界,A,,2.0,778.0,419.0,7.0,750.0,495.0,0
