rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:52,10311.0,1,0,A,1,發短球,,1.0,2.0,,,,,8.0,592.0,408.0,,,,,8.0,657.0,537.0,8.0,587.0,369.0,0
1,2.0,00:06:53,10334.0,1,0,B,2,放小球,,,2.0,8.0,592.0,408.0,,7.0,676.0,479.0,,,,,8.0,586.0,396.0,8.0,658.0,535.0,0
1,3.0,00:06:54,10352.0,1,0,A,2,放小球,,,2.0,7.0,676.0,479.0,,7.0,621.0,437.0,,,,,7.0,677.0,498.0,8.0,635.0,389.0,0
1,4.0,00:06:55,10375.0,1,0,B,2,挑球,,,2.0,7.0,621.0,437.0,,3.0,801.0,626.0,,,,,7.0,635.0,415.0,7.0,672.0,517.0,0
1,5.0,00:06:56,10406.0,1,0,A,2,切球,,,1.0,3.0,801.0,626.0,,5.0,505.0,404.0,,,,,9.0,765.0,635.0,8.0,636.0,370.0,0
1,6.0,00:06:56,10424.0,1,0,B,2,放小球,,,2.0,5.0,505.0,404.0,,2.0,461.0,493.0,,,,,8.0,538.0,395.0,8.0,721.0,604.0,0
1,7.0,00:06:57,10447.0,1,0,A,2,挑球,,1.0,2.0,2.0,461.0,493.0,,9.0,747.0,332.0,,,,,2.0,511.0,518.0,8.0,586.0,385.0,0
1,8.0,00:06:59,10477.0,1,0,B,2,點扣,1.0,,1.0,9.0,747.0,332.0,,5.0,828.0,551.0,,,,,9.0,684.0,338.0,8.0,673.0,564.0,0
1,9.0,00:06:59,10492.0,1,0,A,2,防守回挑,,,2.0,5.0,828.0,551.0,,8.0,738.0,357.0,,,,,8.0,756.0,567.0,9.0,695.0,340.0,0
1,10.0,00:07:00,10515.0,1,0,B,2,殺球,1.0,,1.0,8.0,738.0,357.0,,8.0,733.0,547.0,,,,,8.0,697.0,362.0,8.0,733.0,564.0,0
1,11.0,00:07:01,10525.0,1,0,A,2,擋小球,,,2.0,8.0,733.0,547.0,,8.0,532.0,401.0,,,,,8.0,729.0,566.0,8.0,669.0,364.0,0
1,12.0,00:07:01,10545.0,1,0,B,2,放小球,,,2.0,8.0,532.0,401.0,,2.0,442.0,495.0,,,,,8.0,584.0,398.0,8.0,642.0,560.0,0
1,13.0,00:07:02,10571.0,1,0,A,2,放小球,,1.0,2.0,2.0,442.0,495.0,,1.0,458.0,445.0,,,,,2.0,486.0,522.0,8.0,588.0,384.0,0
1,14.0,00:07:03,10593.0,1,0,B,2,放小球,,,2.0,1.0,458.0,445.0,,2.0,456.0,471.0,,,,,1.0,501.0,429.0,8.0,572.0,541.0,0
1,15.0,00:07:04,10617.0,1,0,A,2,挑球,,1.0,2.0,2.0,456.0,471.0,,3.0,509.0,329.0,,,,,2.0,496.0,489.0,7.0,550.0,412.0,0
1,16.0,00:07:06,10663.0,1,0,B,2,長球,,,1.0,3.0,509.0,329.0,,5.0,795.0,584.0,,,,,3.0,535.0,327.0,8.0,612.0,554.0,0
1,17.0,00:07:07,10688.0,1,0,A,2,切球,,,1.0,5.0,795.0,584.0,,2.0,794.0,414.0,,,,,8.0,746.0,592.0,8.0,608.0,350.0,0
1,18.0,00:07:08,10709.0,1,0,B,2,挑球,,1.0,2.0,2.0,794.0,414.0,,9.0,533.0,630.0,,,,,6.0,775.0,397.0,8.0,752.0,591.0,0
1,19.0,00:07:09,10741.0,1,0,A,3,殺球,1.0,,1.0,9.0,533.0,630.0,2.0,6.0,833.0,364.0,對手落地致勝,落地致勝,A,,8.0,548.0,626.0,8.0,600.0,367.0,0
