rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:56:48,85209.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7.0,610.0,375.0,,,,,8.0,658.0,509.0,8.0,581.0,321.0,0
1,2.0,00:56:49,85229.0,0,1,B,2,放小球,,1.0,2.0,7.0,610.0,375.0,2.0,1.0,519.0,432.0,,,,,8.0,571.0,361.0,8.0,649.0,517.0,0
1,3.0,00:56:49,85249.0,0,1,A,2,挑球,,1.0,2.0,1.0,519.0,432.0,1.0,9.0,702.0,289.0,,,,,7.0,528.0,460.0,8.0,593.0,353.0,0
1,4.0,00:56:51,85280.0,0,1,B,2,切球,,,1.0,9.0,702.0,289.0,2.0,2.0,811.0,490.0,,,,,8.0,675.0,297.0,8.0,695.0,530.0,0
1,5.0,00:56:51,85298.0,0,1,A,2,勾球,,,2.0,2.0,811.0,490.0,2.0,7.0,554.0,393.0,,,,,6.0,789.0,523.0,8.0,677.0,299.0,0
1,6.0,00:56:52,85323.0,0,1,B,2,放小球,,,2.0,7.0,554.0,393.0,2.0,7.0,555.0,429.0,,,,,7.0,570.0,384.0,8.0,685.0,502.0,0
1,7.0,00:56:53,85341.0,0,1,A,2,推球,,1.0,2.0,7.0,555.0,429.0,1.0,9.0,725.0,288.0,,,,,7.0,604.0,437.0,7.0,585.0,378.0,0
1,8.0,00:56:54,85369.0,0,1,B,2,長球,,1.0,1.0,9.0,725.0,288.0,1.0,8.0,549.0,593.0,,,,,9.0,693.0,290.0,8.0,670.0,511.0,0
1,9.0,00:56:55,85394.0,0,1,A,2,殺球,,,1.0,8.0,549.0,593.0,2.0,5.0,535.0,326.0,,,,,8.0,636.0,554.0,8.0,622.0,315.0,0
1,10.0,00:56:56,85404.0,0,1,B,2,擋小球,,,2.0,5.0,535.0,326.0,2.0,1.0,484.0,450.0,,,,,8.0,585.0,321.0,8.0,575.0,588.0,0
1,11.0,00:56:57,85426.0,0,1,A,2,放小球,,1.0,2.0,1.0,484.0,450.0,2.0,8.0,620.0,358.0,,,,,8.0,525.0,502.0,8.0,569.0,311.0,0
1,12.0,00:56:57,85444.0,0,1,B,2,挑球,,1.0,2.0,8.0,620.0,358.0,1.0,9.0,489.0,644.0,,,,,8.0,592.0,349.0,8.0,621.0,521.0,0
1,13.0,00:56:59,85476.0,0,1,A,2,過渡切球,,1.0,1.0,9.0,489.0,644.0,2.0,7.0,561.0,373.0,,,,,9.0,533.0,640.0,8.0,601.0,317.0,0
1,14.0,00:56:59,85494.0,0,1,B,2,放小球,,,2.0,7.0,561.0,373.0,2.0,1.0,517.0,437.0,,,,,8.0,586.0,354.0,8.0,594.0,570.0,0
1,15.0,00:57:00,85517.0,0,1,A,2,放小球,,1.0,2.0,1.0,517.0,437.0,1.0,1.0,479.0,411.0,,,,,7.0,529.0,461.0,8.0,589.0,349.0,0
1,16.0,00:57:01,85531.0,0,1,B,2,撲球,,,1.0,1.0,479.0,411.0,2.0,8.0,640.0,516.0,,,,,7.0,572.0,375.0,7.0,542.0,470.0,0
1,17.0,00:57:01,85542.0,0,1,A,2,防守回挑,,,2.0,8.0,640.0,516.0,1.0,9.0,644.0,290.0,,,,,8.0,581.0,522.0,1.0,500.0,419.0,0
