rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:01:14,1874.0,1,0,B,1,發短球,,1.0,2.0,,,,2.0,1.0,483.0,420.0,,,,,8.0,657.0,532.0,8.0,560.0,376.0,0
1,2.0,00:01:15,1891.0,1,0,A,2,勾球,,,2.0,1.0,483.0,420.0,2.0,7.0,795.0,476.0,,,,,7.0,495.0,413.0,8.0,646.0,528.0,0
1,3.0,00:01:16,1911.0,1,0,B,2,挑球,,,2.0,7.0,795.0,476.0,1.0,5.0,492.0,352.0,,,,,7.0,776.0,501.0,8.0,631.0,402.0,0
1,4.0,00:01:17,1941.0,1,0,A,2,殺球,,,1.0,5.0,492.0,352.0,2.0,5.0,440.0,568.0,,,,,8.0,535.0,354.0,8.0,633.0,547.0,0
1,5.0,00:01:18,1951.0,1,0,B,2,擋小球,,1.0,2.0,5.0,440.0,568.0,2.0,8.0,593.0,408.0,,,,,8.0,694.0,573.0,3.0,438.0,346.0,0
1,6.0,00:01:19,1978.0,1,0,A,2,推球,,1.0,2.0,8.0,593.0,408.0,1.0,4.0,902.0,640.0,,,,,8.0,536.0,397.0,8.0,608.0,546.0,0
1,7.0,00:01:20,2005.0,1,0,B,3,長球,,,1.0,4.0,902.0,640.0,2.0,12.0,903.0,338.0,出界,對手出界,A,,8.0,804.0,610.0,8.0,651.0,374.0,0
2,1.0,00:01:33,2342.0,2,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,525.0,503.0,,,,,8.0,646.0,390.0,8.0,486.0,568.0,0
2,2.0,00:01:34,2358.0,2,0,B,2,勾球,,1.0,2.0,7.0,525.0,503.0,2.0,2.0,830.0,433.0,,,,,7.0,567.0,515.0,8.0,636.0,385.0,0
2,3.0,00:01:35,2378.0,2,0,A,2,挑球,,1.0,2.0,2.0,830.0,433.0,1.0,3.0,380.0,633.0,,,,,8.0,778.0,408.0,8.0,653.0,529.0,0
2,4.0,00:01:36,2408.0,2,0,B,2,點扣,1.0,,1.0,3.0,380.0,633.0,2.0,5.0,437.0,367.0,,,,,8.0,516.0,618.0,8.0,614.0,364.0,0
2,5.0,00:01:36,2421.0,2,0,A,2,勾球,,,2.0,5.0,437.0,367.0,2.0,7.0,738.0,504.0,,,,,8.0,523.0,366.0,5.0,426.0,604.0,0
2,6.0,00:01:37,2445.0,2,0,B,2,放小球,,,2.0,7.0,738.0,504.0,2.0,2.0,826.0,429.0,,,,,8.0,681.0,525.0,8.0,596.0,363.0,0
2,7.0,00:01:38,2469.0,2,0,A,2,挑球,,1.0,2.0,2.0,826.0,429.0,1.0,9.0,565.0,643.0,,,,,7.0,768.0,411.0,8.0,716.0,537.0,0
