rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:26:11,39276.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,2.0,873.0,499.0,,,,,8.0,626.0,393.0,8.0,775.0,569.0,0
1,2.0,00:26:11,39296.0,1,0,B,3,挑球,,,2.0,2.0,873.0,499.0,2.0,13.0,416.0,325.0,出界,對手出界,A,,7.0,810.0,512.0,8.0,643.0,387.0,0
2,1.0,00:26:20,39517.0,2,0,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
2,2.0,00:26:22,39566.0,2,0,B,3,挑球,,1.0,2.0,,,,2.0,14.0,365.0,332.0,出界,對手出界,A,,8.0,553.0,524.0,8.0,642.0,387.0,0
3,1.0,00:26:32,39823.0,3,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,757.0,502.0,,,,,8.0,629.0,391.0,8.0,750.0,564.0,0
3,2.0,00:26:33,39842.0,3,0,B,2,放小球,,,2.0,7.0,757.0,502.0,2.0,2.0,862.0,420.0,,,,,7.0,679.0,510.0,8.0,612.0,396.0,0
3,3.0,00:26:34,39865.0,3,0,A,2,挑球,,1.0,2.0,2.0,862.0,420.0,1.0,8.0,496.0,623.0,,,,,8.0,791.0,409.0,8.0,673.0,540.0,0
3,4.0,00:26:35,39897.0,3,0,B,3,切球,1.0,,1.0,8.0,496.0,623.0,2.0,15.0,364.0,402.0,出界,對手出界,A,,8.0,514.0,621.0,8.0,599.0,371.0,0
4,1.0,00:26:47,40175.0,4,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,535.0,511.0,,,,,8.0,650.0,396.0,8.0,497.0,572.0,0
4,2.0,00:26:47,40192.0,4,0,B,2,勾球,,1.0,2.0,7.0,535.0,511.0,2.0,2.0,848.0,429.0,,,,,8.0,575.0,523.0,8.0,651.0,391.0,0
