rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:56,12500.0,1,0,A,1,發長球,,,2.0,,,,1.0,9.0,788.0,641.0,,,,,8.0,623.0,371.0,8.0,752.0,556.0,0
1,2.0,00:06:58,12558.0,1,0,B,2,點扣,1.0,,1.0,9.0,788.0,641.0,2.0,8.0,538.0,354.0,,,,,9.0,780.0,637.0,8.0,647.0,347.0,0
1,3.0,00:06:59,12572.0,1,0,A,2,擋小球,,,2.0,8.0,538.0,354.0,2.0,7.0,520.0,489.0,,,,,8.0,642.0,350.0,8.0,741.0,607.0,0
1,4.0,00:07:00,12602.0,1,0,B,2,推球,,,2.0,7.0,520.0,489.0,1.0,4.0,752.0,309.0,,,,,8.0,596.0,524.0,8.0,639.0,348.0,0
1,5.0,00:07:01,12631.0,1,0,A,2,點扣,1.0,,1.0,4.0,752.0,309.0,2.0,6.0,448.0,549.0,,,,,9.0,700.0,312.0,8.0,656.0,559.0,0
1,6.0,00:07:01,12653.0,1,0,B,2,推球,,,2.0,6.0,448.0,549.0,1.0,8.0,529.0,332.0,,,,,8.0,602.0,542.0,13.0,709.0,304.0,0
1,7.0,00:07:02,12677.0,1,0,A,2,切球,,,1.0,8.0,529.0,332.0,2.0,2.0,493.0,490.0,,,,,8.0,576.0,336.0,8.0,570.0,544.0,0
1,8.0,00:07:03,12700.0,1,0,B,2,放小球,,,2.0,2.0,493.0,490.0,2.0,1.0,505.0,408.0,,,,,8.0,519.0,509.0,8.0,582.0,333.0,0
1,9.0,00:07:04,12726.0,1,0,A,2,推球,,,2.0,1.0,505.0,408.0,1.0,9.0,804.0,630.0,,,,,7.0,557.0,402.0,7.0,547.0,502.0,0
1,10.0,00:07:05,12760.0,1,0,B,2,長球,,1.0,1.0,9.0,804.0,630.0,1.0,6.0,772.0,325.0,,,,,8.0,718.0,597.0,8.0,636.0,379.0,0
1,11.0,00:07:06,12793.0,1,0,A,2,點扣,1.0,,1.0,6.0,772.0,325.0,2.0,5.0,828.0,545.0,,,,,4.0,758.0,315.0,8.0,711.0,585.0,0
1,12.0,00:07:07,12811.0,1,0,B,2,勾球,,1.0,2.0,5.0,828.0,545.0,2.0,5.0,492.0,387.0,,,,,8.0,737.0,550.0,8.0,734.0,325.0,0
1,13.0,00:07:08,12842.0,1,0,A,2,放小球,,,2.0,5.0,492.0,387.0,2.0,2.0,454.0,474.0,,,,,8.0,576.0,354.0,8.0,660.0,574.0,0
1,14.0,00:07:09,12870.0,1,0,B,2,推球,,,2.0,2.0,454.0,474.0,2.0,3.0,490.0,315.0,,,,,7.0,539.0,499.0,8.0,592.0,377.0,0
1,15.0,00:07:11,12931.0,1,0,A,2,過渡切球,,,2.0,3.0,490.0,315.0,2.0,2.0,478.0,477.0,,,,,8.0,587.0,334.0,7.0,509.0,507.0,0
1,16.0,00:07:11,12936.0,1,0,B,3,勾球,,,2.0,2.0,478.0,477.0,2.0,7.0,676.0,439.0,掛網,對手掛網,A,,7.0,510.0,499.0,9.0,592.0,322.0,0
2,1.0,00:07:23,13301.0,1,1,A,1,發長球,,,2.0,,,,1.0,9.0,533.0,634.0,,,,,8.0,656.0,375.0,8.0,552.0,538.0,0
2,2.0,00:07:25,13358.0,1,1,B,2,殺球,,,1.0,9.0,533.0,634.0,2.0,8.0,694.0,349.0,,,,,9.0,547.0,631.0,8.0,641.0,358.0,0
2,3.0,00:07:25,13372.0,1,1,A,3,擋小球,,1.0,2.0,8.0,694.0,349.0,2.0,7.0,690.0,435.0,掛網,對手掛網,B,,8.0,631.0,353.0,8.0,569.0,596.0,0
3,1.0,00:07:49,14084.0,2,1,B,1,發長球,,1.0,2.0,,,,1.0,9.0,748.0,318.0,,,,,8.0,634.0,529.0,8.0,738.0,347.0,0
3,2.0,00:07:50,14114.0,2,1,A,2,殺球,1.0,,1.0,9.0,748.0,318.0,2.0,5.0,829.0,547.0,,,,,8.0,732.0,327.0,8.0,663.0,554.0,0
3,3.0,00:07:51,14131.0,2,1,B,3,擋小球,,1.0,2.0,5.0,829.0,547.0,2.0,7.0,640.0,442.0,未過網,對手未過網,A,,8.0,709.0,554.0,8.0,705.0,330.0,0
4,1.0,00:08:03,14498.0,3,1,A,1,發長球,,,2.0,,,,1.0,9.0,708.0,639.0,,,,,8.0,627.0,378.0,8.0,762.0,567.0,0
4,2.0,00:08:05,14559.0,3,1,B,3,殺球,1.0,,1.0,9.0,708.0,639.0,2.0,11.0,855.0,347.0,出界,對手出界,A,,9.0,717.0,645.0,8.0,653.0,354.0,0
5,1.0,00:08:15,14863.0,4,1,A,1,發長球,,,2.0,,,,1.0,4.0,388.0,648.0,,,,,8.0,660.0,379.0,8.0,542.0,566.0,0
5,2.0,00:08:17,14923.0,4,1,B,2,殺球,,,1.0,4.0,388.0,648.0,2.0,8.0,547.0,354.0,,,,,4.0,443.0,628.0,8.0,635.0,351.0,0
5,3.0,00:08:17,14939.0,4,1,A,2,勾球,,,2.0,8.0,547.0,354.0,2.0,8.0,761.0,521.0,,,,,8.0,620.0,346.0,6.0,471.0,592.0,0
5,4.0,00:08:18,14961.0,4,1,B,2,推球,,1.0,2.0,8.0,761.0,521.0,1.0,9.0,527.0,321.0,,,,,8.0,683.0,530.0,8.0,666.0,343.0,0
5,5.0,00:08:19,14983.0,4,1,A,2,點扣,,,1.0,9.0,527.0,321.0,2.0,8.0,492.0,538.0,,,,,9.0,604.0,312.0,8.0,684.0,576.0,0
5,6.0,00:08:19,14997.0,4,1,B,2,勾球,,,2.0,8.0,492.0,538.0,2.0,6.0,765.0,364.0,,,,,8.0,592.0,567.0,9.0,550.0,323.0,0
5,7.0,00:08:20,15020.0,4,1,A,2,放小球,,1.0,2.0,6.0,765.0,364.0,2.0,1.0,833.0,489.0,,,,,8.0,654.0,356.0,8.0,657.0,548.0,0
5,8.0,00:08:21,15049.0,4,1,B,2,勾球,,1.0,2.0,1.0,833.0,489.0,2.0,7.0,545.0,400.0,,,,,8.0,746.0,522.0,8.0,703.0,347.0,0
5,9.0,00:08:22,15075.0,4,1,A,3,推球,,,2.0,7.0,545.0,400.0,2.0,3.0,897.0,652.0,落點判斷失誤,對手落點判斷失誤,A,,8.0,615.0,388.0,8.0,703.0,535.0,0
6,1.0,00:08:35,15470.0,5,1,A,1,未知球種,,,2.0,,,,,4.0,897.0,652.0,,,,1.0,8.0,615.0,388.0,8.0,703.0,535.0,0
