rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:31:29,56675.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,738.0,496.0,,,,,8.0,628.0,373.0,8.0,727.0,569.0,0
1,2.0,00:31:29,56696.0,1,0,B,2,放小球,,1.0,2.0,7.0,738.0,496.0,2.0,2.0,848.0,408.0,,,,,7.0,765.0,504.0,8.0,644.0,372.0,0
1,3.0,00:31:30,56725.0,1,0,A,2,挑球,,,2.0,2.0,848.0,408.0,1.0,8.0,798.0,599.0,,,,,2.0,794.0,400.0,8.0,743.0,528.0,0
1,4.0,00:31:32,56761.0,1,0,B,2,殺球,,,1.0,8.0,798.0,599.0,2.0,6.0,808.0,353.0,,,,,8.0,781.0,604.0,8.0,704.0,358.0,0
1,5.0,00:31:32,56777.0,1,0,A,2,擋小球,,,2.0,6.0,808.0,353.0,2.0,1.0,803.0,476.0,,,,,8.0,747.0,346.0,9.0,773.0,621.0,0
1,6.0,00:31:33,56804.0,1,0,B,3,推球,,,2.0,1.0,803.0,476.0,2.0,12.0,899.0,312.0,出界,對手出界,A,,7.0,745.0,506.0,8.0,712.0,345.0,0
2,1.0,00:31:50,57305.0,1,1,A,1,發短球,,1.0,2.0,,,,2.0,7.0,617.0,498.0,,,,,8.0,650.0,367.0,8.0,549.0,562.0,0
2,2.0,00:31:50,57328.0,1,1,B,2,推球,,1.0,2.0,7.0,617.0,498.0,1.0,8.0,535.0,339.0,,,,,7.0,645.0,508.0,8.0,643.0,362.0,0
2,3.0,00:31:51,57351.0,1,1,A,3,平球,1.0,,1.0,8.0,535.0,339.0,2.0,7.0,706.0,450.0,未過網,對手未過網,B,,8.0,621.0,348.0,8.0,654.0,542.0,0
3,1.0,00:32:16,58087.0,2,1,B,1,發短球,,1.0,2.0,,,,2.0,7.0,694.0,395.0,,,,,8.0,628.0,542.0,8.0,709.0,357.0,0
3,2.0,00:32:16,58106.0,2,1,A,2,放小球,,1.0,2.0,7.0,694.0,395.0,2.0,7.0,769.0,466.0,,,,,7.0,718.0,393.0,8.0,654.0,550.0,0
3,3.0,00:32:17,58131.0,2,1,B,2,挑球,,,2.0,7.0,769.0,466.0,1.0,4.0,803.0,314.0,,,,,7.0,732.0,491.0,8.0,682.0,379.0,0
3,4.0,00:32:19,58171.0,2,1,A,2,切球,,,1.0,4.0,803.0,314.0,2.0,1.0,815.0,491.0,,,,,4.0,757.0,320.0,8.0,723.0,559.0,0
3,5.0,00:32:19,58197.0,2,1,B,2,挑球,,,2.0,1.0,815.0,491.0,1.0,5.0,511.0,334.0,,,,,8.0,769.0,521.0,8.0,733.0,326.0,0
3,6.0,00:32:20,58229.0,2,1,A,2,點扣,1.0,,1.0,5.0,511.0,334.0,2.0,8.0,518.0,556.0,,,,,8.0,582.0,339.0,8.0,682.0,565.0,0
3,7.0,00:32:21,58243.0,2,1,B,2,防守回抽,,1.0,2.0,8.0,518.0,556.0,1.0,8.0,699.0,336.0,,,,,8.0,671.0,565.0,8.0,552.0,331.0,0
3,8.0,00:32:22,58261.0,2,1,A,2,切球,,,1.0,8.0,699.0,336.0,2.0,2.0,487.0,478.0,,,,,8.0,638.0,348.0,8.0,666.0,569.0,0
3,9.0,00:32:22,58286.0,2,1,B,2,挑球,,1.0,2.0,2.0,487.0,478.0,1.0,4.0,786.0,311.0,,,,,8.0,526.0,517.0,8.0,664.0,354.0,0
3,10.0,00:32:24,58322.0,2,1,A,2,長球,,,1.0,4.0,786.0,311.0,1.0,5.0,836.0,604.0,,,,,9.0,738.0,311.0,8.0,670.0,557.0,0
3,11.0,00:32:25,58351.0,2,1,B,2,點扣,,,1.0,5.0,836.0,604.0,2.0,8.0,669.0,366.0,,,,,8.0,776.0,611.0,8.0,691.0,338.0,0
3,12.0,00:32:25,58367.0,2,1,A,2,擋小球,,1.0,2.0,8.0,669.0,366.0,2.0,1.0,830.0,486.0,,,,,8.0,716.0,357.0,8.0,790.0,612.0,0
3,13.0,00:32:26,58394.0,2,1,B,3,推球,,,2.0,1.0,830.0,486.0,2.0,12.0,865.0,292.0,出界,對手出界,A,,8.0,761.0,516.0,8.0,696.0,357.0,0
4,1.0,00:32:49,59083.0,2,2,A,1,發短球,,1.0,2.0,,,,2.0,7.0,727.0,482.0,,,,,8.0,628.0,375.0,8.0,727.0,559.0,0
4,2.0,00:32:50,59103.0,2,2,B,2,放小球,,,2.0,7.0,727.0,482.0,2.0,7.0,598.0,420.0,,,,,7.0,688.0,501.0,8.0,642.0,362.0,0
4,3.0,00:32:51,59130.0,2,2,A,2,挑球,,1.0,2.0,7.0,598.0,420.0,1.0,9.0,753.0,623.0,,,,,7.0,628.0,406.0,8.0,680.0,528.0,0
4,4.0,00:32:52,59164.0,2,2,B,2,後場抽平球,,,1.0,9.0,753.0,623.0,2.0,8.0,614.0,365.0,,,,,9.0,688.0,628.0,8.0,665.0,366.0,0
4,5.0,00:32:52,59185.0,2,2,A,2,擋小球,,1.0,2.0,8.0,614.0,365.0,2.0,2.0,487.0,500.0,,,,,8.0,676.0,357.0,8.0,716.0,586.0,0
4,6.0,00:32:53,59212.0,2,2,B,2,放小球,,1.0,2.0,2.0,487.0,500.0,2.0,7.0,669.0,419.0,,,,,8.0,558.0,521.0,8.0,636.0,360.0,0
4,7.0,00:32:54,59243.0,2,2,A,2,放小球,,1.0,2.0,7.0,669.0,419.0,2.0,7.0,741.0,454.0,,,,,7.0,683.0,402.0,8.0,651.0,533.0,0
4,8.0,00:32:55,59268.0,2,2,B,2,挑球,,,2.0,7.0,741.0,454.0,1.0,9.0,675.0,320.0,,,,,7.0,697.0,469.0,8.0,700.0,389.0,0
4,9.0,00:32:57,59320.0,2,2,A,2,切球,,,1.0,9.0,675.0,320.0,2.0,2.0,468.0,507.0,,,,,9.0,641.0,322.0,8.0,659.0,555.0,0
4,10.0,00:32:58,59343.0,2,2,B,2,挑球,,1.0,2.0,2.0,468.0,507.0,1.0,5.0,468.0,336.0,,,,,8.0,502.0,545.0,8.0,662.0,333.0,0
4,11.0,00:32:59,59371.0,2,2,A,2,殺球,1.0,,1.0,5.0,468.0,336.0,2.0,6.0,431.0,568.0,,,,,8.0,583.0,338.0,8.0,598.0,561.0,0
4,12.0,00:32:59,59384.0,2,2,B,2,擋小球,,1.0,2.0,6.0,431.0,568.0,1.0,8.0,574.0,374.0,,,,,8.0,637.0,572.0,8.0,554.0,347.0,0
