rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:45,12159.0,1,0,B,1,發長球,,,2.0,,,,1.0,9.0,581.0,321.0,,,,,8.0,664.0,555.0,8.0,552.0,343.0,0
1,2.0,00:06:47,12223.0,1,0,A,2,點扣,,,1.0,9.0,581.0,321.0,2.0,8.0,629.0,530.0,,,,,9.0,603.0,317.0,8.0,643.0,562.0,0
1,3.0,00:06:47,12236.0,1,0,B,2,擋小球,,1.0,2.0,8.0,629.0,530.0,2.0,2.0,775.0,393.0,,,,,8.0,671.0,550.0,9.0,595.0,325.0,0
1,4.0,00:06:48,12261.0,1,0,A,2,放小球,,1.0,2.0,2.0,775.0,393.0,2.0,1.0,840.0,474.0,,,,,8.0,720.0,382.0,8.0,676.0,546.0,0
1,5.0,00:06:49,12291.0,1,0,B,2,放小球,,,2.0,1.0,840.0,474.0,2.0,2.0,825.0,408.0,,,,,1.0,809.0,494.0,8.0,679.0,374.0,0
1,6.0,00:06:50,12315.0,1,0,A,2,挑球,,1.0,2.0,2.0,825.0,408.0,1.0,4.0,463.0,615.0,,,,,2.0,776.0,405.0,7.0,745.0,497.0,0
1,7.0,00:06:51,12357.0,1,0,B,2,過渡切球,,1.0,1.0,4.0,463.0,615.0,2.0,8.0,753.0,391.0,,,,,9.0,498.0,619.0,8.0,619.0,364.0,0
1,8.0,00:06:52,12380.0,1,0,A,2,勾球,,1.0,2.0,8.0,753.0,391.0,2.0,2.0,490.0,473.0,,,,,8.0,699.0,374.0,8.0,600.0,578.0,0
1,9.0,00:06:53,12412.0,1,0,B,3,挑球,,1.0,2.0,2.0,490.0,473.0,2.0,11.0,944.0,362.0,出界,對手出界,A,,7.0,519.0,485.0,8.0,608.0,377.0,0
2,1.0,00:07:05,12779.0,1,1,A,1,發長球,,,2.0,,,,1.0,8.0,495.0,607.0,,,,,8.0,647.0,348.0,8.0,497.0,564.0,0
2,2.0,00:07:07,12839.0,1,1,B,2,點扣,,,1.0,8.0,495.0,607.0,2.0,5.0,490.0,356.0,,,,,9.0,493.0,616.0,8.0,582.0,358.0,0
2,3.0,00:07:08,12852.0,1,1,A,2,擋小球,,,2.0,5.0,490.0,356.0,1.0,8.0,730.0,545.0,,,,,8.0,555.0,354.0,8.0,506.0,586.0,0
2,4.0,00:07:09,12876.0,1,1,B,2,平球,,,1.0,8.0,730.0,545.0,1.0,6.0,788.0,356.0,,,,,8.0,607.0,555.0,8.0,598.0,342.0,0
2,5.0,00:07:09,12892.0,1,1,A,3,防守回抽,,1.0,1.0,6.0,788.0,356.0,2.0,13.0,509.0,657.0,出界,對手出界,B,,8.0,681.0,354.0,8.0,710.0,551.0,0
3,1.0,00:07:35,13666.0,2,1,B,1,發長球,,,2.0,,,,1.0,9.0,697.0,315.0,,,,,8.0,619.0,555.0,8.0,726.0,353.0,0
3,2.0,00:07:37,13727.0,2,1,A,2,點扣,,,1.0,9.0,697.0,315.0,2.0,5.0,859.0,546.0,,,,,9.0,722.0,318.0,8.0,694.0,562.0,0
3,3.0,00:07:38,13746.0,2,1,B,3,擋小球,,,2.0,5.0,859.0,546.0,2.0,1.0,810.0,450.0,掛網,對手掛網,A,,8.0,750.0,560.0,8.0,706.0,332.0,0
4,1.0,00:07:50,14100.0,3,1,A,1,發長球,,,2.0,,,,1.0,9.0,761.0,638.0,,,,,8.0,604.0,350.0,8.0,731.0,570.0,0
4,2.0,00:07:51,14158.0,3,1,B,2,切球,,,1.0,9.0,761.0,638.0,2.0,5.0,495.0,373.0,,,,,9.0,745.0,645.0,8.0,659.0,368.0,0
4,3.0,00:07:52,14180.0,3,1,A,2,挑球,,,2.0,5.0,495.0,373.0,1.0,9.0,765.0,622.0,,,,,8.0,559.0,370.0,8.0,699.0,590.0,0
4,4.0,00:07:53,14212.0,3,1,B,3,長球,,,1.0,9.0,765.0,622.0,2.0,13.0,490.0,298.0,出界,對手出界,A,,8.0,701.0,612.0,8.0,623.0,358.0,0
5,1.0,00:08:05,14556.0,3,2,A,1,發長球,,,2.0,,,,1.0,4.0,450.0,643.0,,,,,8.0,653.0,347.0,8.0,494.0,566.0,0
5,2.0,00:08:07,14612.0,3,2,B,2,切球,,,1.0,4.0,450.0,643.0,2.0,2.0,787.0,398.0,,,,,4.0,458.0,643.0,8.0,598.0,372.0,0
5,3.0,00:08:07,14638.0,3,2,A,2,挑球,,1.0,2.0,2.0,787.0,398.0,1.0,8.0,563.0,612.0,,,,,8.0,744.0,370.0,8.0,583.0,584.0,0
5,4.0,00:08:09,14671.0,3,2,B,3,殺球,1.0,,1.0,8.0,563.0,612.0,2.0,6.0,782.0,347.0,對手落地致勝,落地致勝,B,,9.0,545.0,633.0,8.0,616.0,363.0,0
6,1.0,00:08:26,15208.0,4,2,B,1,發長球,,,2.0,,,,1.0,9.0,547.0,316.0,,,,,8.0,660.0,556.0,8.0,553.0,343.0,0
6,2.0,00:08:29,15271.0,4,2,A,2,點扣,,,1.0,9.0,547.0,316.0,2.0,8.0,506.0,510.0,,,,,9.0,584.0,315.0,8.0,615.0,548.0,0
6,3.0,00:08:29,15286.0,4,2,B,3,防守回抽,,1.0,2.0,8.0,506.0,510.0,2.0,7.0,612.0,457.0,掛網,對手掛網,A,,8.0,660.0,553.0,8.0,580.0,326.0,0
7,1.0,00:08:42,15661.0,4,3,A,1,發長球,,,2.0,,,,1.0,9.0,785.0,634.0,,,,,8.0,602.0,357.0,8.0,743.0,571.0,0
7,2.0,00:08:44,15721.0,4,3,B,2,點扣,,,1.0,9.0,785.0,634.0,2.0,6.0,786.0,352.0,,,,,9.0,759.0,635.0,8.0,637.0,362.0,0
7,3.0,00:08:44,15733.0,4,3,A,2,擋小球,,1.0,2.0,6.0,786.0,352.0,2.0,1.0,823.0,484.0,,,,,8.0,613.0,362.0,8.0,744.0,608.0,0
7,4.0,00:08:45,15759.0,4,3,B,2,勾球,,,2.0,1.0,823.0,484.0,2.0,7.0,512.0,414.0,,,,,5.0,784.0,515.0,8.0,720.0,381.0,0
7,5.0,00:08:46,15785.0,4,3,A,2,挑球,,,2.0,7.0,512.0,414.0,1.0,8.0,787.0,615.0,,,,,7.0,558.0,402.0,8.0,664.0,525.0,0
7,6.0,00:08:47,15817.0,4,3,B,2,點扣,,,1.0,8.0,787.0,615.0,2.0,6.0,768.0,352.0,,,,,9.0,739.0,627.0,8.0,608.0,368.0,0
7,7.0,00:08:47,15829.0,4,3,A,2,擋小球,,1.0,2.0,6.0,768.0,352.0,2.0,1.0,838.0,499.0,,,,,8.0,627.0,369.0,9.0,717.0,623.0,0
7,8.0,00:08:48,15854.0,4,3,B,2,推球,,,2.0,1.0,838.0,499.0,1.0,6.0,803.0,340.0,,,,,5.0,798.0,513.0,8.0,685.0,359.0,0
7,9.0,00:08:49,15874.0,4,3,A,2,長球,,1.0,1.0,6.0,803.0,340.0,1.0,5.0,794.0,574.0,,,,,8.0,698.0,345.0,5.0,791.0,511.0,0
7,10.0,00:08:50,15904.0,4,3,B,3,殺球,,,1.0,5.0,794.0,574.0,2.0,6.0,806.0,329.0,對手落地致勝,落地致勝,B,,8.0,727.0,586.0,8.0,664.0,361.0,0
8,1.0,00:09:06,16382.0,4,4,B,1,發長球,,,2.0,,,,1.0,9.0,689.0,315.0,,,,,8.0,634.0,558.0,8.0,733.0,347.0,0
8,2.0,00:09:08,16443.0,4,4,A,2,切球,,,1.0,9.0,689.0,315.0,2.0,2.0,477.0,507.0,,,,,9.0,673.0,313.0,8.0,667.0,552.0,0
8,3.0,00:09:08,16466.0,4,4,B,2,放小球,,1.0,2.0,2.0,477.0,507.0,2.0,7.0,579.0,397.0,,,,,8.0,514.0,522.0,8.0,668.0,344.0,0
8,4.0,00:09:09,16491.0,4,4,A,3,推球,,,2.0,7.0,579.0,397.0,2.0,15.0,923.0,613.0,出界,對手出界,B,,8.0,594.0,389.0,8.0,583.0,525.0,0
9,1.0,00:09:22,16872.0,4,5,B,1,未知球種,,,2.0,15.0,361.0,586.0,,,,,,,,1.0,,,,,,,0
9,2.0,00:09:23,16906.0,4,5,A,2,長球,,,1.0,14.0,,,1.0,8.0,749.0,552.0,,,,,9.0,545.0,315.0,8.0,631.0,555.0,0
9,3.0,00:09:24,16931.0,4,5,B,2,過渡切球,,,1.0,8.0,749.0,552.0,2.0,2.0,794.0,401.0,,,,,8.0,671.0,559.0,8.0,625.0,332.0,0
9,4.0,00:09:25,16957.0,4,5,A,2,挑球,,1.0,2.0,2.0,794.0,401.0,1.0,9.0,490.0,618.0,,,,,7.0,748.0,392.0,8.0,704.0,564.0,0
9,5.0,00:09:26,16998.0,4,5,B,2,切球,1.0,,1.0,9.0,490.0,618.0,2.0,2.0,769.0,399.0,,,,,9.0,570.0,625.0,8.0,594.0,371.0,0
9,6.0,00:09:27,17023.0,4,5,A,2,勾球,,1.0,2.0,2.0,769.0,399.0,2.0,2.0,450.0,474.0,,,,,8.0,724.0,389.0,8.0,605.0,606.0,0
9,7.0,00:09:28,17053.0,4,5,B,2,挑球,,1.0,2.0,2.0,450.0,474.0,1.0,9.0,572.0,317.0,,,,,7.0,513.0,493.0,8.0,620.0,373.0,0
9,8.0,00:09:29,17098.0,4,5,A,2,點扣,,,1.0,9.0,572.0,317.0,2.0,6.0,457.0,565.0,,,,,9.0,597.0,319.0,8.0,595.0,528.0,0
9,9.0,00:09:30,17115.0,4,5,B,2,擋小球,,1.0,2.0,6.0,457.0,565.0,2.0,7.0,533.0,392.0,,,,,8.0,654.0,552.0,8.0,575.0,326.0,0
9,10.0,00:09:31,17140.0,4,5,A,3,推球,,,2.0,7.0,533.0,392.0,2.0,11.0,361.0,586.0,出界,對手出界,B,,8.0,583.0,391.0,8.0,613.0,542.0,0
10,1.0,00:10:07,18218.0,4,6,B,1,發長球,,,2.0,,,,1.0,9.0,654.0,310.0,,,,,8.0,621.0,553.0,8.0,744.0,342.0,0
10,2.0,00:10:09,18281.0,4,6,A,2,長球,,,1.0,9.0,654.0,310.0,1.0,5.0,837.0,584.0,,,,,9.0,684.0,311.0,8.0,662.0,545.0,0
10,3.0,00:10:10,18315.0,4,6,B,2,點扣,,,1.0,5.0,837.0,584.0,2.0,8.0,545.0,370.0,,,,,3.0,822.0,626.0,8.0,653.0,357.0,0
10,4.0,00:10:10,18329.0,4,6,A,2,擋小球,,,2.0,8.0,545.0,370.0,2.0,2.0,453.0,500.0,,,,,8.0,614.0,366.0,3.0,852.0,617.0,0
10,5.0,00:10:12,18362.0,4,6,B,2,挑球,,1.0,2.0,2.0,453.0,500.0,1.0,3.0,510.0,316.0,,,,,8.0,508.0,515.0,8.0,597.0,352.0,0
10,6.0,00:10:13,18400.0,4,6,A,2,長球,,,1.0,3.0,510.0,316.0,1.0,3.0,820.0,620.0,,,,,9.0,541.0,316.0,8.0,629.0,540.0,0
10,7.0,00:10:14,18440.0,4,6,B,2,長球,,,1.0,3.0,820.0,620.0,1.0,8.0,541.0,333.0,,,,,9.0,772.0,633.0,8.0,643.0,352.0,0
10,8.0,00:10:15,18472.0,4,6,A,2,長球,,,1.0,8.0,541.0,333.0,1.0,4.0,434.0,626.0,,,,,8.0,573.0,332.0,8.0,669.0,587.0,0
10,9.0,00:10:17,18519.0,4,6,B,2,切球,1.0,,1.0,4.0,434.0,626.0,2.0,6.0,835.0,388.0,,,,,6.0,441.0,610.0,8.0,592.0,352.0,0
