rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:37,11922.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,8.0,706.0,511.0,,,,,8.0,603.0,366.0,8.0,753.0,560.0,0
1,2.0,00:06:38,11946.0,0,1,B,2,放小球,,1.0,2.0,8.0,706.0,511.0,2.0,2.0,813.0,412.0,,,,,7.0,718.0,496.0,8.0,618.0,362.0,0
1,3.0,00:06:39,11972.0,0,1,A,3,放小球,,1.0,2.0,2.0,813.0,412.0,2.0,1.0,824.0,445.0,掛網,對手掛網,B,,7.0,766.0,409.0,8.0,704.0,532.0,0
2,1.0,00:06:51,12344.0,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7.0,699.0,398.0,,,,,8.0,635.0,531.0,8.0,717.0,343.0,0
2,2.0,00:06:52,12367.0,0,2,A,2,放小球,,,2.0,7.0,699.0,398.0,2.0,1.0,810.0,487.0,,,,,7.0,703.0,392.0,8.0,653.0,526.0,0
2,3.0,00:06:53,12393.0,0,2,B,2,挑球,,,2.0,1.0,810.0,487.0,1.0,6.0,765.0,332.0,,,,,7.0,780.0,500.0,8.0,684.0,380.0,0
2,4.0,00:06:54,12425.0,0,2,A,2,殺球,1.0,,1.0,6.0,765.0,332.0,2.0,5.0,843.0,557.0,,,,,8.0,709.0,332.0,8.0,730.0,547.0,0
2,5.0,00:06:54,12438.0,0,2,B,2,勾球,,,2.0,5.0,843.0,557.0,2.0,5.0,469.0,387.0,,,,,8.0,748.0,559.0,8.0,726.0,324.0,0
2,6.0,00:06:55,12467.0,0,2,A,2,放小球,,,2.0,5.0,469.0,387.0,2.0,2.0,449.0,468.0,,,,,8.0,539.0,364.0,8.0,662.0,567.0,0
2,7.0,00:06:56,12493.0,0,2,B,2,挑球,,1.0,2.0,2.0,449.0,468.0,1.0,4.0,802.0,320.0,,,,,2.0,496.0,499.0,8.0,560.0,347.0,0
2,8.0,00:06:57,12530.0,0,2,A,2,過渡切球,,1.0,1.0,4.0,802.0,320.0,1.0,7.0,632.0,457.0,,,,,6.0,768.0,324.0,8.0,680.0,544.0,0
2,9.0,00:06:58,12556.0,0,2,B,2,平球,,,1.0,7.0,632.0,457.0,1.0,8.0,606.0,357.0,,,,,7.0,575.0,497.0,8.0,651.0,339.0,0
2,10.0,00:06:58,12565.0,0,2,A,3,擋小球,,1.0,1.0,8.0,606.0,357.0,2.0,7.0,514.0,446.0,掛網,對手掛網,B,,8.0,600.0,352.0,8.0,590.0,509.0,0
3,1.0,00:07:13,13007.0,1,2,B,1,發短球,,1.0,2.0,,,,2.0,7.0,596.0,396.0,,,,,8.0,647.0,528.0,8.0,575.0,346.0,0
3,2.0,00:07:14,13030.0,1,2,A,2,放小球,,1.0,2.0,7.0,596.0,396.0,2.0,2.0,413.0,474.0,,,,,7.0,559.0,394.0,8.0,626.0,534.0,0
3,3.0,00:07:15,13056.0,1,2,B,2,放小球,,1.0,2.0,2.0,413.0,474.0,2.0,1.0,473.0,416.0,,,,,2.0,482.0,491.0,8.0,596.0,380.0,0
3,4.0,00:07:16,13082.0,1,2,A,2,挑球,,,2.0,1.0,473.0,416.0,1.0,3.0,846.0,634.0,,,,,1.0,506.0,413.0,7.0,551.0,490.0,0
3,5.0,00:07:17,13121.0,1,2,B,2,切球,,,1.0,3.0,846.0,634.0,2.0,6.0,806.0,379.0,,,,,8.0,761.0,612.0,8.0,606.0,359.0,0
3,6.0,00:07:18,13145.0,1,2,A,2,勾球,,1.0,2.0,6.0,806.0,379.0,2.0,7.0,509.0,489.0,,,,,6.0,771.0,371.0,8.0,730.0,582.0,0
3,7.0,00:07:19,13171.0,1,2,B,2,放小球,,1.0,2.0,7.0,509.0,489.0,2.0,1.0,499.0,413.0,,,,,7.0,540.0,498.0,8.0,674.0,353.0,0
3,8.0,00:07:19,13198.0,1,2,A,2,放小球,,,2.0,1.0,499.0,413.0,2.0,2.0,489.0,457.0,,,,,7.0,518.0,402.0,8.0,582.0,519.0,0
3,9.0,00:07:20,13224.0,1,2,B,2,挑球,,1.0,2.0,2.0,489.0,457.0,1.0,8.0,740.0,359.0,,,,,7.0,539.0,469.0,7.0,582.0,393.0,0
3,10.0,00:07:22,13271.0,1,2,A,2,殺球,,,1.0,8.0,740.0,359.0,2.0,8.0,718.0,556.0,,,,,8.0,712.0,337.0,8.0,678.0,550.0,0
3,11.0,00:07:22,13282.0,1,2,B,3,擋小球,,,2.0,8.0,718.0,556.0,2.0,10.0,401.0,460.0,未過網,對手未過網,A,,8.0,718.0,572.0,8.0,703.0,329.0,0
4,1.0,00:07:46,13980.0,2,2,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
4,2.0,00:07:46,14003.0,2,2,B,2,放小球,,,2.0,,,,2.0,2.0,811.0,413.0,,,,,7.0,567.0,506.0,8.0,628.0,355.0,0
4,3.0,00:07:47,14035.0,2,2,A,2,放小球,,1.0,2.0,2.0,811.0,413.0,2.0,1.0,818.0,462.0,,,,,8.0,764.0,384.0,8.0,643.0,520.0,0
4,4.0,00:07:48,14064.0,2,2,B,2,放小球,,,2.0,1.0,818.0,462.0,2.0,2.0,851.0,412.0,,,,,1.0,806.0,486.0,8.0,707.0,369.0,0
4,5.0,00:07:49,14093.0,2,2,A,2,挑球,,1.0,2.0,2.0,851.0,412.0,1.0,8.0,493.0,615.0,,,,,2.0,798.0,415.0,7.0,754.0,500.0,0
4,6.0,00:07:51,14156.0,2,2,B,2,殺球,,,1.0,8.0,493.0,615.0,2.0,5.0,497.0,342.0,,,,,8.0,494.0,605.0,8.0,579.0,343.0,0
4,7.0,00:07:52,14170.0,2,2,A,2,擋小球,,,2.0,5.0,497.0,342.0,2.0,7.0,568.0,499.0,,,,,8.0,569.0,337.0,8.0,514.0,595.0,0
4,8.0,00:07:53,14195.0,2,2,B,2,挑球,,1.0,2.0,7.0,568.0,499.0,1.0,3.0,520.0,324.0,,,,,8.0,612.0,512.0,8.0,557.0,329.0,0
4,9.0,00:07:54,14226.0,2,2,A,2,點扣,,,1.0,3.0,520.0,324.0,2.0,8.0,770.0,558.0,,,,,3.0,523.0,322.0,8.0,640.0,557.0,0
4,10.0,00:07:54,14245.0,2,2,B,2,挑球,,,2.0,8.0,770.0,558.0,1.0,9.0,753.0,319.0,,,,,8.0,709.0,560.0,9.0,544.0,322.0,0
4,11.0,00:07:55,14269.0,2,2,A,2,長球,,1.0,1.0,9.0,753.0,319.0,1.0,3.0,891.0,633.0,,,,,8.0,676.0,333.0,8.0,712.0,542.0,0
4,12.0,00:07:56,14304.0,2,2,B,2,切球,,,1.0,3.0,891.0,633.0,2.0,6.0,824.0,367.0,,,,,3.0,837.0,621.0,8.0,657.0,345.0,0
4,13.0,00:07:57,14327.0,2,2,A,2,勾球,,1.0,2.0,6.0,824.0,367.0,2.0,2.0,483.0,500.0,,,,,6.0,769.0,375.0,8.0,757.0,609.0,0
4,14.0,00:07:58,14352.0,2,2,B,2,挑球,,1.0,2.0,2.0,483.0,500.0,1.0,3.0,479.0,322.0,,,,,7.0,544.0,501.0,8.0,689.0,360.0,0
4,15.0,00:07:59,14389.0,2,2,A,2,切球,,,1.0,3.0,479.0,322.0,2.0,2.0,461.0,504.0,,,,,3.0,526.0,319.0,8.0,632.0,535.0,0
4,16.0,00:08:00,14413.0,2,2,B,2,勾球,,1.0,2.0,2.0,461.0,504.0,2.0,7.0,728.0,418.0,,,,,8.0,508.0,519.0,8.0,583.0,327.0,0
4,17.0,00:08:01,14438.0,2,2,A,2,放小球,,1.0,2.0,7.0,728.0,418.0,2.0,7.0,708.0,449.0,,,,,7.0,718.0,391.0,8.0,633.0,528.0,0
4,18.0,00:08:02,14465.0,2,2,B,3,放小球,,,2.0,7.0,708.0,449.0,2.0,7.0,678.0,449.0,掛網,對手掛網,A,,7.0,722.0,464.0,8.0,670.0,387.0,0
