rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,0:43:23,65097.0,0,1,A,1,發短球,,1.0,2.0,,,,,7.0,620.0,374.0,,,,,8.0,668.0,529.0,8.0,597.0,326.0,0
1,2.0,0:43:24,65115.0,0,1,B,2,放小球,,1.0,2.0,7.0,620.0,374.0,,2.0,484.0,440.0,,,,,7.0,588.0,365.0,8.0,673.0,523.0,0
1,3.0,0:43:25,65134.0,0,1,A,3,挑球,,,2.0,2.0,484.0,440.0,2.0,13.0,566.0,273.0,出界,對手出界,B,,7.0,524.0,485.0,8.0,606.0,344.0,0
2,1.0,0:43:36,65400.0,0,2,B,1,發短球,,1.0,2.0,,,,,7.0,544.0,461.0,,,,,8.0,655.0,351.0,8.0,570.0,538.0,0
2,2.0,0:43:36,65418.0,0,2,A,2,放小球,,,2.0,7.0,544.0,461.0,,7.0,545.0,372.0,,,,,7.0,575.0,482.0,8.0,639.0,326.0,0
2,3.0,0:43:37,65440.0,0,2,B,2,推球,,,2.0,7.0,545.0,372.0,,4.0,428.0,637.0,,,,,7.0,597.0,362.0,8.0,588.0,503.0,0
2,4.0,0:43:38,65467.0,0,2,A,2,過渡切球,,,1.0,4.0,428.0,637.0,,2.0,784.0,372.0,,,,,6.0,478.0,619.0,8.0,601.0,339.0,0
2,5.0,0:43:39,65486.0,0,2,B,2,放小球,,1.0,1.0,2.0,784.0,372.0,,1.0,802.0,440.0,,,,,8.0,727.0,360.0,8.0,581.0,586.0,0
2,6.0,0:43:40,65507.0,0,2,A,2,放小球,,1.0,2.0,1.0,802.0,440.0,,2.0,802.0,406.0,,,,,7.0,771.0,464.0,8.0,721.0,354.0,0
2,7.0,0:43:41,65531.0,0,2,B,2,挑球,,1.0,2.0,2.0,802.0,406.0,,9.0,538.0,679.0,,,,,7.0,767.0,373.0,7.0,719.0,473.0,0
2,8.0,0:43:43,65583.0,0,2,A,2,長球,,,1.0,9.0,538.0,679.0,,3.0,535.0,283.0,,,,,9.0,602.0,674.0,8.0,631.0,321.0,0
2,9.0,0:43:44,65616.0,0,2,B,2,殺球,,,1.0,3.0,535.0,283.0,,5.0,825.0,539.0,,,,,3.0,556.0,289.0,8.0,663.0,582.0,0
2,10.0,0:43:45,65631.0,0,2,A,2,擋小球,,1.0,2.0,5.0,825.0,539.0,,8.0,748.0,357.0,,,,,8.0,674.0,563.0,3.0,543.0,293.0,0
2,11.0,0:43:46,65659.0,0,2,B,2,放小球,,1.0,2.0,8.0,748.0,357.0,,7.0,766.0,432.0,,,,,8.0,718.0,349.0,8.0,703.0,519.0,0
2,12.0,0:43:47,65685.0,0,2,A,2,挑球,,1.0,2.0,7.0,766.0,432.0,,9.0,597.0,285.0,,,,,7.0,719.0,459.0,8.0,701.0,353.0,0
2,13.0,0:43:49,65727.0,0,2,B,2,切球,,,1.0,9.0,597.0,285.0,,1.0,804.0,462.0,,,,,9.0,618.0,287.0,8.0,575.0,556.0,0
2,14.0,0:43:49,65749.0,0,2,A,2,挑球,,1.0,2.0,1.0,804.0,462.0,,4.0,766.0,288.0,,,,,8.0,762.0,494.0,8.0,625.0,302.0,0
2,15.0,0:43:50,65774.0,0,2,B,2,點扣,1.0,,1.0,4.0,766.0,288.0,,6.0,483.0,548.0,,,,,9.0,728.0,295.0,8.0,671.0,539.0,0
2,16.0,0:43:51,65785.0,0,2,A,2,擋小球,,,2.0,6.0,483.0,548.0,,8.0,629.0,358.0,,,,,8.0,606.0,570.0,8.0,742.0,305.0,0
2,17.0,0:43:52,65807.0,0,2,B,3,撲球,,,1.0,8.0,629.0,358.0,,5.0,877.0,623.0,對手落地致勝,落地致勝,B,,8.0,638.0,348.0,15.0,385.0,564.0,0
3,1.0,00:44:27,66683.0,1,2,A,1,發短球,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,0
3,2.0,00:44:27,66683.0,1,2,B,2,未知球種,,,1.0,,,,,,,,,,,1.0,,,,,,,0
3,3.0,0:44:27,66683.0,1,2,B,2,過渡切球,,1.0,1.0,14.0,,,,1.0,794.0,461.0,,,,,9.0,750.0,294.0,8.0,694.0,520.0,0
3,4.0,0:44:27,66696.0,1,2,A,2,勾球,,1.0,2.0,1.0,794.0,461.0,,8.0,636.0,359.0,,,,,8.0,657.0,519.0,8.0,697.0,308.0,0
3,5.0,0:44:28,66717.0,1,2,B,2,放小球,,,2.0,8.0,636.0,359.0,,7.0,775.0,423.0,,,,,8.0,644.0,334.0,8.0,654.0,523.0,0
3,6.0,0:44:29,66740.0,1,2,A,2,放小球,,1.0,2.0,7.0,775.0,423.0,,2.0,821.0,409.0,,,,,7.0,751.0,450.0,8.0,664.0,345.0,0
3,7.0,0:44:30,66761.0,1,2,B,2,挑球,,1.0,2.0,2.0,821.0,409.0,,9.0,768.0,655.0,,,,,7.0,756.0,391.0,7.0,726.0,466.0,0
3,8.0,0:44:32,66818.0,1,2,A,2,點扣,,,1.0,9.0,768.0,655.0,,6.0,760.0,332.0,,,,,9.0,742.0,665.0,8.0,649.0,326.0,0
3,9.0,0:44:33,66829.0,1,2,B,2,擋小球,,1.0,2.0,6.0,760.0,332.0,,5.0,808.0,491.0,,,,,8.0,622.0,329.0,8.0,719.0,621.0,0
3,10.0,0:44:33,66845.0,1,2,A,2,放小球,,1.0,2.0,5.0,808.0,491.0,,2.0,789.0,372.0,,,,,8.0,762.0,519.0,8.0,661.0,332.0,0
3,11.0,0:44:34,66867.0,1,2,B,2,挑球,,1.0,2.0,2.0,789.0,372.0,,4.0,432.0,630.0,,,,,7.0,747.0,362.0,8.0,709.0,522.0,0
3,12.0,0:44:35,66897.0,1,2,A,2,過渡切球,,,1.0,4.0,432.0,630.0,,5.0,543.0,346.0,,,,,4.0,468.0,638.0,8.0,626.0,325.0,0
3,13.0,0:44:36,66916.0,1,2,B,2,平球,,,2.0,5.0,543.0,346.0,,8.0,708.0,520.0,,,,,8.0,573.0,333.0,8.0,559.0,572.0,0
3,14.0,0:44:37,66927.0,1,2,A,2,擋小球,,1.0,1.0,8.0,708.0,520.0,,7.0,641.0,384.0,,,,,8.0,590.0,541.0,8.0,597.0,333.0,0
3,15.0,0:44:37,66945.0,1,2,B,2,推球,,1.0,2.0,7.0,641.0,384.0,,8.0,510.0,557.0,,,,,8.0,657.0,348.0,8.0,655.0,511.0,0
3,16.0,0:44:38,66963.0,1,2,A,2,過渡切球,,,1.0,8.0,510.0,557.0,,1.0,515.0,369.0,,,,,8.0,609.0,564.0,8.0,619.0,330.0,0
3,17.0,0:44:39,66984.0,1,2,B,2,挑球,,,2.0,1.0,515.0,369.0,,6.0,420.0,606.0,,,,,8.0,550.0,355.0,8.0,575.0,560.0,0
3,18.0,0:44:40,67011.0,1,2,A,2,過渡切球,,,1.0,6.0,420.0,606.0,,7.0,765.0,373.0,,,,,6.0,486.0,615.0,8.0,582.0,334.0,0
3,19.0,0:44:41,67034.0,1,2,B,2,勾球,,1.0,2.0,7.0,765.0,373.0,,7.0,533.0,429.0,,,,,8.0,725.0,350.0,8.0,614.0,557.0,0
3,20.0,0:44:42,67057.0,1,2,A,3,殺球,1.0,,1.0,7.0,533.0,429.0,2.0,15.0,385.0,539.0,出界,對手出界,A,,7.0,545.0,453.0,8.0,652.0,352.0,0
4,1.0,0:45:08,67710.0,1,3,A,1,發短球,,1.0,2.0,,,,,7.0,735.0,367.0,,,,,8.0,636.0,507.0,8.0,731.0,346.0,0
4,2.0,0:45:09,67729.0,1,3,B,2,挑球,,1.0,2.0,7.0,735.0,367.0,,6.0,476.0,611.0,,,,,8.0,680.0,360.0,8.0,649.0,509.0,0
4,3.0,0:45:10,67754.0,1,3,A,2,點扣,,,1.0,6.0,476.0,611.0,,5.0,486.0,324.0,,,,,8.0,530.0,616.0,8.0,596.0,317.0,0
4,4.0,0:45:10,67765.0,1,3,B,2,擋小球,,,2.0,5.0,486.0,324.0,,2.0,464.0,444.0,,,,,8.0,576.0,327.0,6.0,478.0,624.0,0
4,5.0,0:45:11,67783.0,1,3,A,2,放小球,,,2.0,2.0,464.0,444.0,,1.0,505.0,392.0,,,,,8.0,516.0,492.0,8.0,576.0,327.0,0
4,6.0,0:45:12,67803.0,1,3,B,2,放小球,,,2.0,1.0,505.0,392.0,,2.0,500.0,434.0,,,,,7.0,552.0,378.0,8.0,554.0,502.0,0
4,7.0,0:45:12,67822.0,1,3,A,2,放小球,,,2.0,2.0,500.0,434.0,,7.0,542.0,409.0,,,,,2.0,515.0,452.0,7.0,568.0,361.0,0
4,8.0,0:45:13,67844.0,1,3,B,2,挑球,,,2.0,7.0,542.0,409.0,,4.0,483.0,647.0,,,,,7.0,554.0,376.0,7.0,573.0,456.0,0
4,9.0,0:45:15,67887.0,1,3,A,2,過渡切球,,,2.0,4.0,483.0,647.0,,2.0,783.0,374.0,,,,,9.0,505.0,638.0,8.0,613.0,341.0,0
4,10.0,0:45:16,67908.0,1,3,B,2,放小球,,1.0,2.0,2.0,783.0,374.0,,1.0,807.0,442.0,,,,,8.0,758.0,355.0,8.0,630.0,575.0,0
4,11.0,0:45:17,67933.0,1,3,A,2,放小球,,1.0,2.0,1.0,807.0,442.0,,2.0,819.0,403.0,,,,,7.0,752.0,458.0,8.0,693.0,343.0,0
4,12.0,0:45:18,67956.0,1,3,B,2,挑球,,1.0,2.0,2.0,819.0,403.0,,3.0,868.0,627.0,,,,,2.0,772.0,374.0,7.0,726.0,467.0,0
4,13.0,0:45:19,67999.0,1,3,A,2,切球,,,1.0,3.0,868.0,627.0,,8.0,757.0,353.0,,,,,3.0,829.0,625.0,8.0,694.0,337.0,0
4,14.0,0:45:20,68018.0,1,3,B,2,放小球,,1.0,2.0,8.0,757.0,353.0,,1.0,811.0,443.0,,,,,8.0,718.0,346.0,8.0,745.0,587.0,0
4,15.0,0:45:21,68043.0,1,3,A,2,放小球,,1.0,2.0,1.0,811.0,443.0,,2.0,823.0,407.0,,,,,7.0,770.0,488.0,8.0,673.0,328.0,0
4,16.0,0:45:22,68066.0,1,3,B,2,放小球,,1.0,2.0,2.0,823.0,407.0,,1.0,852.0,429.0,,,,,2.0,792.0,378.0,8.0,736.0,490.0,0
4,17.0,0:45:23,68088.0,1,3,A,2,挑球,,1.0,2.0,1.0,852.0,429.0,,5.0,501.0,324.0,,,,,1.0,794.0,444.0,7.0,757.0,365.0,0
4,18.0,0:45:25,68132.0,1,3,B,3,殺球,,,1.0,5.0,501.0,324.0,,6.0,428.0,588.0,對手落地致勝,落地致勝,B,,5.0,523.0,338.0,8.0,707.0,556.0,0
5,1.0,00:45:52,68815.0,2,3,B,1,發短球,,1.0,2.0,,,,,7.0,621.0,456.0,,,,,8.0,659.0,352.0,8.0,557.0,525.0,0
5,2.0,0:45:52,68819.0,2,3,A,2,挑球,,1.0,2.0,,,,,14.0,485.0,284.0,,,,,8.0,561.0,489.0,8.0,650.0,350.0,0
5,3.0,0:45:54,68852.0,2,3,B,2,過渡切球,,,1.0,7.0,621.0,456.0,1.0,2.0,455.0,474.0,,,,,3.0,547.0,290.0,8.0,553.0,515.0,0
5,4.0,0:45:54,68867.0,2,3,A,2,勾球,,,2.0,2.0,455.0,474.0,,7.0,763.0,365.0,,,,,6.0,479.0,505.0,9.0,563.0,291.0,0
5,5.0,0:45:55,68890.0,2,3,B,2,挑球,,1.0,2.0,7.0,763.0,365.0,,4.0,441.0,645.0,,,,,8.0,724.0,356.0,8.0,642.0,498.0,0
