rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:32:20,48521.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,8.0,662.0,575.0,,,,,8.0,628.0,386.0,8.0,706.0,539.0,0
1,2.0,00:32:21,48529.0,1,0,B,2,推球,,,2.0,8.0,662.0,575.0,1.0,5.0,513.0,332.0,,,,,8.0,637.0,521.0,8.0,634.0,373.0,0
1,3.0,00:32:22,48555.0,1,0,A,2,長球,1.0,,2.0,5.0,513.0,332.0,1.0,3.0,833.0,641.0,,,,,9.0,527.0,324.0,8.0,592.0,567.0,0
1,4.0,00:32:23,48587.0,1,0,B,3,殺球,,,2.0,3.0,833.0,641.0,1.0,12.0,849.0,326.0,出界,對手出界,A,,3.0,820.0,653.0,8.0,663.0,351.0,0
2,1.0,00:32:38,48966.0,1,1,A,1,發短球,,1.0,2.0,,,,2.0,7.0,529.0,519.0,,,,,8.0,653.0,378.0,8.0,533.0,554.0,0
2,2.0,00:32:40,49013.0,1,1,B,2,放小球,,,1.0,7.0,529.0,519.0,2.0,1.0,482.0,426.0,,,,,8.0,560.0,523.0,8.0,621.0,378.0,0
2,3.0,00:32:41,49032.0,1,1,A,2,挑球,,1.0,2.0,1.0,482.0,426.0,1.0,8.0,651.0,620.0,,,,,7.0,519.0,431.0,8.0,563.0,524.0,0
2,4.0,00:32:43,49083.0,1,1,B,3,殺球,,,1.0,8.0,651.0,620.0,2.0,8.0,695.0,342.0,對手落地致勝,落地致勝,B,,9.0,619.0,631.0,8.0,622.0,343.0,0
3,1.0,00:33:03,49590.0,1,2,B,1,發短球,,1.0,2.0,,,,2.0,7.0,735.0,399.0,,,,,8.0,618.0,555.0,8.0,697.0,366.0,0
3,2.0,00:33:04,49605.0,1,2,A,2,擋小球,,1.0,1.0,7.0,735.0,399.0,2.0,7.0,769.0,508.0,,,,,8.0,726.0,389.0,8.0,658.0,555.0,0
3,3.0,00:33:04,49623.0,1,2,B,2,放小球,,,1.0,7.0,769.0,508.0,2.0,2.0,797.0,419.0,,,,,7.0,746.0,509.0,8.0,691.0,374.0,0
3,4.0,00:33:05,49643.0,1,2,A,2,挑球,,,2.0,2.0,797.0,419.0,1.0,3.0,852.0,647.0,,,,,7.0,765.0,413.0,8.0,703.0,548.0,0
3,5.0,00:33:07,49676.0,1,2,B,3,後場抽平球,,,1.0,3.0,852.0,647.0,2.0,4.0,815.0,317.0,落點判斷失誤,對手落點判斷失誤,B,,9.0,795.0,643.0,8.0,682.0,361.0,0
4,1.0,00:33:21,50030.0,1,3,B,1,發短球,,1.0,2.0,,,,1.0,8.0,607.0,357.0,,,,,8.0,661.0,547.0,8.0,556.0,368.0,0
4,2.0,00:33:21,50046.0,1,3,A,3,推球,,1.0,2.0,8.0,607.0,357.0,1.0,13.0,834.0,682.0,出界,對手出界,B,,8.0,571.0,386.0,8.0,650.0,568.0,0
5,1.0,00:33:32,50322.0,1,4,B,1,發短球,,1.0,2.0,,,,1.0,8.0,682.0,358.0,,,,,8.0,616.0,555.0,8.0,704.0,369.0,0
5,2.0,00:33:33,50338.0,1,4,A,2,推球,,,2.0,8.0,682.0,358.0,1.0,8.0,492.0,619.0,,,,,8.0,711.0,388.0,8.0,641.0,560.0,0
