rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,0:35:27,53179,1,0,A,1,發短球,,1.0,2,,,,,7.0,573.0,394.0,,,,,8.0,647.0,495.0,8.0,598.0,332.0,0
1,2,0:35:27,53194,1,0,B,2,放小球,,1.0,2,7.0,573.0,394.0,,2.0,461.0,439.0,,,,,8.0,570.0,365.0,8.0,617.0,511.0,0
1,3,0:35:28,53217,1,0,A,2,挑球,,,2,2.0,461.0,439.0,,5.0,488.0,314.0,,,,,2.0,489.0,465.0,8.0,600.0,348.0,0
1,4,0:35:29,53248,1,0,B,2,殺球,,,1,5.0,488.0,314.0,,6.0,472.0,527.0,,,,,5.0,530.0,309.0,8.0,561.0,542.0,0
1,5,0:35:30,53258,1,0,A,2,平球,,,2,6.0,472.0,527.0,1.0,8.0,570.0,342.0,,,,,8.0,532.0,572.0,3.0,469.0,300.0,0
1,6,00:35:30,53273,1,0,B,3,小平球,,1.0,1,8.0,570.0,342.0,2.0,7.0,717.0,422.0,掛網,對手掛網,A,,8.0,538.0,319.0,8.0,588.0,555.0,0
2,1,00:35:51,53781,2,0,A,1,發短球,,1.0,2,,,,2.0,,,,,,,1.0,,,,,,,0
2,2,00:35:52,53801,2,0,B,2,挑球,,1.0,2,,,,1.0,3.0,401.0,626.0,,,,1.0,,,,,,,0
2,3,00:35:53,53836,2,0,A,2,過渡切球,,,1,3.0,401.0,626.0,2.0,5.0,490.0,354.0,,,,,3.0,449.0,631.0,8.0,579.0,337.0,0
2,4,00:35:54,53855,2,0,B,3,擋小球,,,2,5.0,490.0,354.0,2.0,2.0,794.0,416.0,掛網,對手掛網,A,,8.0,532.0,360.0,8.0,538.0,580.0,0
3,1,0:36:13,54341,2,1,B,1,推球,,1.0,2,,,,,9.0,783.0,624.0,,,,,8.0,574.0,362.0,8.0,626.0,499.0,0
3,2,0:36:14,54369,2,1,A,2,殺球,,,1,9.0,783.0,624.0,,6.0,786.0,333.0,,,,,8.0,698.0,601.0,8.0,623.0,346.0,0
3,3,0:36:15,54384,2,1,B,2,勾球,,1.0,2,6.0,786.0,333.0,,2.0,478.0,473.0,,,,,8.0,648.0,333.0,8.0,745.0,603.0,0
3,4,0:36:16,54407,2,1,A,2,放小球,,,2,2.0,478.0,473.0,,1.0,469.0,386.0,,,,,8.0,520.0,494.0,8.0,647.0,329.0,0
3,5,0:36:17,54430,2,1,B,2,推球,,,2,1.0,469.0,386.0,,5.0,845.0,587.0,,,,,7.0,532.0,374.0,8.0,557.0,504.0,0
3,6,0:36:18,54459,2,1,A,2,過渡切球,,1.0,1,5.0,845.0,587.0,,2.0,775.0,370.0,,,,,5.0,824.0,603.0,8.0,617.0,343.0,0
3,7,0:36:18,54471,2,1,B,2,平球,,1.0,2,2.0,775.0,370.0,,5.0,852.0,529.0,,,,,8.0,695.0,354.0,8.0,726.0,570.0,0
3,8,0:36:19,54483,2,1,A,2,擋小球,,1.0,1,5.0,852.0,529.0,,6.0,790.0,368.0,,,,,8.0,679.0,552.0,8.0,741.0,354.0,0
