rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,0:09:40,14503.0,1,0,A,1,發短球,,1.0,2.0,,,,,7.0,565.0,419.0,,,,,8.0,646.0,530.0,8.0,565.0,367.0,0
1,2.0,0:09:41,14527.0,1,0,B,2,挑球,,1.0,2.0,7.0,565.0,419.0,,8.0,780.0,601.0,,,,,8.0,572.0,397.0,8.0,615.0,535.0,0
1,3.0,0:09:42,14554.0,1,0,A,2,殺球,,,1.0,8.0,780.0,601.0,,8.0,770.0,359.0,,,,,8.0,691.0,585.0,8.0,615.0,363.0,0
1,4.0,0:09:42,14565.0,1,0,B,2,防守回抽,,1.0,2.0,8.0,770.0,359.0,,6.0,395.0,525.0,,,,,8.0,605.0,361.0,8.0,750.0,606.0,0
1,5.0,0:09:43,14590.0,1,0,A,2,擋小球,,,2.0,6.0,395.0,525.0,,5.0,484.0,388.0,,,,,8.0,492.0,542.0,8.0,609.0,353.0,0
1,6.0,0:09:44,14612.0,1,0,B,2,放小球,,,2.0,5.0,484.0,388.0,,1.0,409.0,451.0,,,,,8.0,518.0,400.0,8.0,528.0,531.0,0
1,7.0,0:09:45,14633.0,1,0,A,2,挑球,,,2.0,1.0,409.0,451.0,,9.0,688.0,335.0,,,,,2.0,457.0,488.0,8.0,536.0,400.0,0
1,8.0,0:09:46,14665.0,1,0,B,2,殺球,,,1.0,9.0,688.0,335.0,,5.0,852.0,545.0,,,,,9.0,671.0,336.0,8.0,592.0,531.0,0
1,9.0,0:09:47,14681.0,1,0,A,2,擋小球,,1.0,2.0,5.0,852.0,545.0,,6.0,788.0,393.0,,,,,8.0,644.0,548.0,9.0,668.0,333.0,0
1,10.0,0:09:48,14707.0,1,0,B,2,挑球,,1.0,2.0,6.0,788.0,393.0,,8.0,471.0,588.0,,,,,8.0,739.0,392.0,8.0,703.0,531.0,0
1,11.0,0:09:49,14736.0,1,0,A,2,切球,,,1.0,8.0,471.0,588.0,,5.0,471.0,385.0,,,,,8.0,495.0,628.0,8.0,604.0,361.0,0
1,12.0,0:09:50,14756.0,1,0,B,2,放小球,,,2.0,5.0,471.0,385.0,,2.0,402.0,473.0,,,,,8.0,517.0,376.0,8.0,559.0,576.0,0
1,13.0,0:09:51,14780.0,1,0,A,2,挑球,,,2.0,2.0,402.0,473.0,,3.0,449.0,333.0,,,,,2.0,435.0,500.0,8.0,552.0,373.0,0
1,14.0,0:09:52,14810.0,1,0,B,2,殺球,,,1.0,3.0,449.0,333.0,,6.0,381.0,540.0,,,,,3.0,500.0,331.0,8.0,501.0,552.0,0
1,15.0,0:09:52,14821.0,1,0,A,2,擋小球,,,2.0,6.0,381.0,540.0,,5.0,482.0,381.0,,,,,8.0,477.0,571.0,14.0,424.0,322.0,0
1,16.0,0:09:53,14845.0,1,0,B,2,推球,,,2.0,5.0,482.0,381.0,,6.0,376.0,593.0,,,,,8.0,528.0,389.0,8.0,525.0,552.0,0
1,17.0,0:09:54,14870.0,1,0,A,2,過渡切球,,,1.0,6.0,376.0,593.0,,5.0,483.0,383.0,,,,,6.0,442.0,612.0,8.0,569.0,358.0,0
1,18.0,0:09:55,14892.0,1,0,B,2,推球,,,2.0,5.0,483.0,383.0,,5.0,853.0,616.0,,,,,8.0,537.0,382.0,8.0,535.0,559.0,0
1,19.0,0:09:56,14913.0,1,0,A,2,後場抽平球,,1.0,1.0,5.0,853.0,616.0,,8.0,751.0,362.0,,,,,8.0,789.0,594.0,8.0,613.0,373.0,0
1,20.0,0:09:56,14924.0,1,0,B,3,平球,,1.0,1.0,8.0,751.0,362.0,1.0,14.0,297.0,639.0,出界,對手出界,A,,8.0,624.0,375.0,8.0,721.0,567.0,0
2,1.0,0:10:16,15400.0,1,1,A,1,未知球種,,,2.0,,,,,14.0,297.0,639.0,,,,1.0,8.0,624.0,375.0,8.0,721.0,567.0,0
2,2.0,0:10:16,15422.0,1,1,B,3,殺球,,,1.0,14.0,297.0,639.0,1.0,6.0,387.0,584.0,對手落地致勝,落地致勝,B,,8.0,720.0,347.0,8.0,630.0,536.0,0
3,1.0,0:10:32,15805.0,1,2,B,1,發短球,,1.0,2.0,,,,,7.0,535.0,508.0,,,,,8.0,649.0,382.0,8.0,535.0,554.0,0
3,2.0,0:10:32,15824.0,1,2,A,2,挑球,,1.0,2.0,7.0,535.0,508.0,,9.0,529.0,333.0,,,,,7.0,515.0,515.0,8.0,633.0,371.0,0
3,3.0,0:10:34,15856.0,1,2,B,2,長球,,,1.0,9.0,529.0,333.0,,5.0,834.0,570.0,,,,,9.0,533.0,329.0,8.0,538.0,542.0,0
3,4.0,0:10:35,15879.0,1,2,A,2,點扣,,,1.0,5.0,834.0,570.0,,8.0,759.0,348.0,,,,,8.0,688.0,560.0,9.0,587.0,334.0,0
3,5.0,0:10:35,15890.0,1,2,B,2,防守回抽,,1.0,2.0,8.0,759.0,348.0,,6.0,470.0,532.0,,,,,8.0,624.0,350.0,8.0,777.0,584.0,0
3,6.0,0:10:36,15908.0,1,2,A,2,擋小球,,,1.0,6.0,470.0,532.0,,1.0,496.0,413.0,,,,,8.0,590.0,550.0,8.0,615.0,352.0,0
3,7.0,0:10:37,15928.0,1,2,B,2,挑球,,,2.0,1.0,496.0,413.0,,8.0,813.0,570.0,,,,,7.0,524.0,405.0,8.0,547.0,538.0,0
3,8.0,0:10:38,15956.0,1,2,A,2,殺球,,,1.0,8.0,813.0,570.0,,6.0,789.0,353.0,,,,,8.0,687.0,576.0,8.0,606.0,369.0,0
3,9.0,0:10:38,15966.0,1,2,B,2,擋小球,,1.0,2.0,6.0,789.0,353.0,,7.0,600.0,463.0,,,,,8.0,616.0,356.0,8.0,765.0,597.0,0
3,10.0,0:10:39,15986.0,1,2,A,2,推球,,,2.0,7.0,600.0,463.0,,4.0,801.0,336.0,,,,,8.0,662.0,532.0,8.0,617.0,354.0,0
3,11.0,0:10:40,16010.0,1,2,B,2,過渡切球,,,1.0,4.0,801.0,336.0,,1.0,834.0,514.0,,,,,8.0,670.0,351.0,8.0,665.0,538.0,0
3,12.0,0:10:40,16024.0,1,2,A,2,放小球,,1.0,1.0,1.0,834.0,514.0,,1.0,488.0,407.0,,,,,8.0,664.0,556.0,8.0,684.0,345.0,0
3,13.0,0:10:41,16046.0,1,2,B,2,挑球,,,2.0,1.0,488.0,407.0,,5.0,858.0,614.0,,,,,8.0,526.0,390.0,8.0,621.0,546.0,0
3,14.0,0:10:43,16075.0,1,2,A,2,長球,,,1.0,5.0,858.0,614.0,,4.0,781.0,335.0,,,,,8.0,718.0,604.0,8.0,594.0,372.0,0
3,15.0,0:10:44,16100.0,1,2,B,2,點扣,,,1.0,4.0,781.0,335.0,,5.0,862.0,557.0,,,,,9.0,746.0,335.0,8.0,681.0,584.0,0
3,16.0,0:10:44,16113.0,1,2,A,2,擋小球,,1.0,2.0,5.0,862.0,557.0,,6.0,795.0,400.0,,,,,8.0,616.0,564.0,9.0,746.0,340.0,0
3,17.0,0:10:45,16138.0,1,2,B,2,挑球,,1.0,2.0,6.0,795.0,400.0,,8.0,522.0,572.0,,,,,8.0,761.0,396.0,8.0,666.0,542.0,0
3,18.0,0:10:46,16158.0,1,2,A,2,點扣,,,1.0,8.0,522.0,572.0,,8.0,622.0,360.0,,,,,8.0,602.0,589.0,8.0,634.0,364.0,0
3,19.0,0:10:46,16170.0,1,2,B,2,擋小球,,,2.0,8.0,622.0,360.0,,7.0,719.0,461.0,,,,,8.0,619.0,355.0,8.0,502.0,591.0,0
3,20.0,0:10:47,16194.0,1,2,A,2,推球,,1.0,2.0,7.0,719.0,461.0,,4.0,783.0,336.0,,,,,8.0,624.0,519.0,8.0,629.0,348.0,0
3,21.0,0:10:48,16223.0,1,2,B,2,過渡切球,,1.0,1.0,4.0,783.0,336.0,,2.0,474.0,459.0,,,,,9.0,746.0,331.0,8.0,661.0,528.0,0
3,22.0,0:10:49,16244.0,1,2,A,2,平球,,,1.0,2.0,474.0,459.0,,8.0,686.0,349.0,,,,,7.0,485.0,491.0,8.0,658.0,345.0,0
3,23.0,0:10:50,16254.0,1,2,B,2,平球,,1.0,1.0,8.0,686.0,349.0,,7.0,739.0,509.0,,,,,8.0,602.0,350.0,7.0,499.0,492.0,0
3,24.0,0:10:50,16268.0,1,2,A,2,推球,,1.0,1.0,7.0,739.0,509.0,,9.0,726.0,336.0,,,,,7.0,637.0,516.0,8.0,609.0,369.0,0
3,25.0,0:10:51,16293.0,1,2,B,2,殺球,,,1.0,9.0,726.0,336.0,2.0,5.0,897.0,558.0,,,,,9.0,700.0,334.0,8.0,635.0,552.0,0
3,26.0,00:10:52,16307.0,1,2,A,3,擋小球,,1.0,2.0,5.0,897.0,558.0,2.0,2.0,841.0,456.0,掛網,對手掛網,B,,8.0,758.0,573.0,8.0,697.0,344.0,0
4,1.0,0:11:10,16764.0,1,3,B,1,發短球,,1.0,2.0,,,,,7.0,690.0,505.0,,,,,8.0,622.0,387.0,8.0,764.0,556.0,0
4,2.0,0:11:11,16786.0,1,3,A,2,挑球,,1.0,2.0,7.0,690.0,505.0,,9.0,546.0,330.0,,,,,7.0,681.0,513.0,8.0,634.0,378.0,0
4,3.0,0:11:12,16820.0,1,3,B,2,長球,,,1.0,9.0,546.0,330.0,,8.0,501.0,602.0,,,,,13.0,576.0,321.0,8.0,570.0,543.0,0
4,4.0,0:11:13,16848.0,1,3,A,2,長球,,,1.0,8.0,501.0,602.0,,3.0,464.0,335.0,,,,,8.0,521.0,593.0,8.0,573.0,354.0,0
4,5.0,0:11:15,16881.0,1,3,B,2,長球,,,1.0,3.0,464.0,335.0,,4.0,410.0,631.0,,,,,3.0,502.0,328.0,8.0,546.0,559.0,0
4,6.0,0:11:16,16911.0,1,3,A,2,切球,,,1.0,4.0,410.0,631.0,,5.0,466.0,398.0,,,,,4.0,426.0,638.0,8.0,568.0,351.0,0
4,7.0,0:11:17,16930.0,1,3,B,2,挑球,,,2.0,5.0,466.0,398.0,,5.0,866.0,583.0,,,,,5.0,500.0,378.0,8.0,519.0,586.0,0
