rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:44:21,66529.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,562.0,414.0,,,,,8.0,657.0,530.0,8.0,554.0,362.0,0
1,2.0,00:44:22,66550.0,1,0,B,2,放小球,,1.0,2.0,7.0,562.0,414.0,2.0,2.0,822.0,488.0,,,,,8.0,563.0,400.0,8.0,658.0,562.0,0
1,3.0,00:44:23,66576.0,1,0,A,2,挑球,,1.0,2.0,2.0,822.0,488.0,1.0,9.0,542.0,327.0,,,,,7.0,777.0,515.0,8.0,656.0,390.0,0
1,4.0,00:44:24,66610.0,1,0,B,2,點扣,,,1.0,9.0,542.0,327.0,2.0,5.0,439.0,567.0,,,,,9.0,585.0,335.0,8.0,659.0,569.0,0
1,5.0,00:44:24,66623.0,1,0,A,2,擋小球,,,2.0,5.0,439.0,567.0,2.0,7.0,599.0,409.0,,,,,8.0,541.0,582.0,3.0,524.0,320.0,0
1,6.0,00:44:25,66647.0,1,0,B,2,挑球,,,2.0,7.0,599.0,409.0,1.0,5.0,375.0,638.0,,,,,7.0,629.0,404.0,8.0,600.0,553.0,0
1,7.0,00:44:27,66685.0,1,0,A,2,切球,,,1.0,5.0,375.0,638.0,2.0,6.0,824.0,390.0,,,,,3.0,445.0,642.0,8.0,581.0,362.0,0
1,8.0,00:44:28,66702.0,1,0,B,2,放小球,,1.0,2.0,6.0,824.0,390.0,1.0,7.0,730.0,464.0,,,,,8.0,766.0,368.0,8.0,460.0,639.0,0
1,9.0,00:44:29,66726.0,1,0,A,3,撲球,,1.0,1.0,7.0,730.0,464.0,2.0,9.0,731.0,336.0,對手落地致勝,落地致勝,A,,7.0,725.0,493.0,8.0,723.0,362.0,0
2,1.0,00:44:49,67235.0,2,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,744.0,416.0,,,,,8.0,626.0,533.0,8.0,743.0,361.0,0
