rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:39,11989.0,0,1,B,1,發長球,,,2.0,,,,1.0,9.0,555.0,315.0,,,,,8.0,682.0,543.0,8.0,591.0,341.0,0
1,2.0,00:06:41,12054.0,0,1,A,2,長球,,,1.0,9.0,555.0,315.0,1.0,4.0,437.0,619.0,,,,,9.0,551.0,317.0,8.0,648.0,560.0,0
1,3.0,00:06:43,12095.0,0,1,B,2,切球,1.0,,1.0,4.0,437.0,619.0,2.0,1.0,446.0,396.0,,,,,9.0,524.0,620.0,8.0,611.0,345.0,0
1,4.0,00:06:44,12121.0,0,1,A,2,放小球,,,2.0,1.0,446.0,396.0,2.0,1.0,796.0,480.0,,,,,5.0,482.0,380.0,9.0,553.0,623.0,0
1,5.0,00:06:45,12152.0,0,1,B,2,挑球,,,2.0,1.0,796.0,480.0,1.0,3.0,506.0,314.0,,,,,8.0,730.0,507.0,8.0,642.0,353.0,0
1,6.0,00:06:46,12186.0,0,1,A,2,過渡切球,,,1.0,3.0,506.0,314.0,2.0,1.0,828.0,498.0,,,,,9.0,564.0,319.0,8.0,657.0,545.0,0
1,7.0,00:06:47,12216.0,0,1,B,2,挑球,,,2.0,1.0,828.0,498.0,1.0,3.0,480.0,311.0,,,,,8.0,758.0,528.0,8.0,613.0,334.0,0
1,8.0,00:06:48,12249.0,0,1,A,2,後場抽平球,,,1.0,3.0,480.0,311.0,2.0,6.0,407.0,557.0,,,,,8.0,541.0,333.0,8.0,657.0,562.0,0
1,9.0,00:06:48,12264.0,0,1,B,2,防守回挑,,1.0,2.0,6.0,407.0,557.0,1.0,6.0,789.0,322.0,,,,,8.0,593.0,566.0,9.0,571.0,322.0,0
1,10.0,00:06:49,12294.0,0,1,A,2,長球,1.0,,1.0,6.0,789.0,322.0,1.0,9.0,491.0,623.0,,,,,8.0,650.0,348.0,8.0,636.0,568.0,0
1,11.0,00:06:51,12336.0,0,1,B,2,長球,1.0,,1.0,9.0,491.0,623.0,1.0,8.0,751.0,327.0,,,,,9.0,591.0,616.0,8.0,616.0,342.0,0
1,12.0,00:06:52,12361.0,0,1,A,2,長球,1.0,,1.0,8.0,751.0,327.0,1.0,4.0,424.0,624.0,,,,,8.0,635.0,346.0,8.0,605.0,601.0,0
1,13.0,00:06:53,12402.0,0,1,B,2,長球,,,1.0,4.0,424.0,624.0,1.0,5.0,477.0,323.0,,,,,9.0,539.0,616.0,8.0,600.0,355.0,0
1,14.0,00:06:54,12437.0,0,1,A,2,長球,,,1.0,5.0,477.0,323.0,1.0,5.0,830.0,592.0,,,,,3.0,496.0,312.0,8.0,600.0,591.0,0
1,15.0,00:06:55,12463.0,0,1,B,2,長球,,,1.0,5.0,830.0,592.0,1.0,4.0,757.0,320.0,,,,,8.0,679.0,573.0,9.0,549.0,321.0,0
1,16.0,00:06:56,12498.0,0,1,A,2,切球,,,1.0,4.0,757.0,320.0,2.0,6.0,445.0,516.0,,,,,8.0,721.0,327.0,8.0,704.0,582.0,0
1,17.0,00:06:57,12520.0,0,1,B,2,放小球,,1.0,2.0,6.0,445.0,516.0,1.0,1.0,476.0,395.0,,,,,8.0,503.0,531.0,8.0,725.0,323.0,0
1,18.0,00:06:58,12551.0,0,1,A,3,推球,,,1.0,1.0,476.0,395.0,2.0,7.0,580.0,417.0,掛網,對手掛網,B,,7.0,515.0,400.0,8.0,560.0,538.0,0
2,1.0,00:07:24,13348.0,0,2,B,1,發長球,,,2.0,,,,1.0,4.0,788.0,317.0,,,,,8.0,622.0,555.0,8.0,727.0,341.0,0
2,2.0,00:07:26,13409.0,0,2,A,2,點扣,,,1.0,4.0,788.0,317.0,2.0,8.0,790.0,556.0,,,,,4.0,762.0,315.0,8.0,671.0,592.0,0
2,3.0,00:07:27,13432.0,0,2,B,2,防守回抽,,,2.0,8.0,790.0,556.0,1.0,6.0,796.0,347.0,,,,,8.0,702.0,554.0,9.0,696.0,321.0,0
2,4.0,00:07:28,13449.0,0,2,A,2,點扣,1.0,,1.0,6.0,796.0,347.0,2.0,8.0,658.0,572.0,,,,,8.0,628.0,353.0,8.0,690.0,568.0,0
2,5.0,00:07:28,13462.0,0,2,B,2,防守回抽,,,2.0,8.0,658.0,572.0,1.0,8.0,741.0,351.0,,,,,8.0,727.0,571.0,8.0,638.0,345.0,0
2,6.0,00:07:29,13478.0,0,2,A,2,點扣,1.0,,1.0,8.0,741.0,351.0,2.0,8.0,555.0,548.0,,,,,8.0,626.0,363.0,8.0,701.0,558.0,0
2,7.0,00:07:29,13488.0,0,2,B,2,擋小球,,1.0,2.0,8.0,555.0,548.0,2.0,1.0,457.0,416.0,,,,,8.0,710.0,562.0,8.0,636.0,353.0,0
2,8.0,00:07:30,13522.0,0,2,A,2,放小球,,,2.0,1.0,457.0,416.0,2.0,2.0,439.0,463.0,,,,,7.0,511.0,424.0,8.0,616.0,548.0,0
2,9.0,00:07:31,13547.0,0,2,B,2,挑球,,1.0,2.0,2.0,439.0,463.0,2.0,4.0,786.0,308.0,,,,,7.0,502.0,481.0,8.0,563.0,383.0,0
2,10.0,00:07:33,13594.0,0,2,A,3,後場抽平球,,1.0,2.0,4.0,786.0,308.0,2.0,10.0,904.0,397.0,未過網,對手未過網,B,,9.0,750.0,317.0,8.0,668.0,549.0,0
3,1.0,00:07:49,14096.0,0,3,B,1,未知球種,,,2.0,,,,1.0,6.0,823.0,519.0,,,,1.0,5.0,508.0,339.0,8.0,621.0,575.0,0
3,2.0,00:07:52,14164.0,0,3,A,2,殺球,,,1.0,5.0,823.0,519.0,2.0,6.0,430.0,554.0,,,,,3.0,523.0,316.0,8.0,641.0,570.0,0
3,3.0,00:07:52,14182.0,0,3,B,2,防守回挑,,1.0,2.0,6.0,430.0,554.0,1.0,5.0,468.0,334.0,,,,,8.0,646.0,562.0,9.0,533.0,309.0,0
3,4.0,00:07:53,14210.0,0,3,A,2,點扣,,,1.0,5.0,468.0,334.0,2.0,5.0,835.0,518.0,,,,,5.0,516.0,342.0,8.0,633.0,554.0,0
3,5.0,00:07:54,14229.0,0,3,B,2,擋小球,,,2.0,5.0,835.0,518.0,2.0,2.0,837.0,392.0,,,,,8.0,759.0,546.0,5.0,496.0,326.0,0
3,6.0,00:07:55,14263.0,0,3,A,2,挑球,,1.0,2.0,2.0,837.0,392.0,1.0,4.0,450.0,623.0,,,,,2.0,790.0,398.0,8.0,723.0,549.0,0
3,7.0,00:07:56,14303.0,0,3,B,2,長球,1.0,,1.0,4.0,450.0,623.0,1.0,3.0,479.0,320.0,,,,,9.0,601.0,623.0,8.0,621.0,352.0,0
3,8.0,00:07:57,14339.0,0,3,A,2,過渡切球,,,1.0,3.0,479.0,320.0,2.0,2.0,434.0,498.0,,,,,9.0,538.0,318.0,8.0,616.0,573.0,0
3,9.0,00:07:58,14361.0,0,3,B,3,勾球,,1.0,2.0,2.0,434.0,498.0,2.0,2.0,851.0,388.0,對手落地致勝,落地致勝,B,,6.0,475.0,538.0,8.0,571.0,324.0,0
4,1.0,00:08:20,15007.0,0,4,B,1,發長球,,,2.0,,,,1.0,4.0,787.0,318.0,,,,,8.0,603.0,549.0,8.0,732.0,342.0,0
4,2.0,00:08:22,15071.0,0,4,A,2,殺球,1.0,,1.0,4.0,787.0,318.0,2.0,8.0,792.0,571.0,,,,,6.0,777.0,323.0,8.0,692.0,569.0,0
4,3.0,00:08:22,15089.0,0,4,B,2,防守回挑,,,2.0,8.0,792.0,571.0,1.0,6.0,787.0,349.0,,,,,8.0,706.0,571.0,8.0,749.0,325.0,0
4,4.0,00:08:23,15106.0,0,4,A,2,點扣,1.0,,1.0,6.0,787.0,349.0,2.0,8.0,633.0,558.0,,,,,8.0,646.0,351.0,8.0,710.0,602.0,0
4,5.0,00:08:23,15118.0,0,4,B,2,擋小球,,1.0,2.0,8.0,633.0,558.0,2.0,2.0,806.0,407.0,,,,,8.0,707.0,567.0,8.0,643.0,364.0,0
4,6.0,00:08:24,15146.0,0,4,A,2,推球,,1.0,2.0,2.0,806.0,407.0,1.0,5.0,831.0,588.0,,,,,7.0,749.0,393.0,8.0,685.0,543.0,0
4,7.0,00:08:25,15165.0,0,4,B,2,過渡切球,,,1.0,5.0,831.0,588.0,1.0,2.0,801.0,402.0,,,,,8.0,740.0,577.0,8.0,709.0,359.0,0
4,8.0,00:08:26,15185.0,0,4,A,3,撲球,,1.0,1.0,2.0,801.0,402.0,2.0,7.0,610.0,419.0,掛網,對手掛網,B,,7.0,761.0,411.0,8.0,753.0,577.0,0
5,1.0,00:08:51,15932.0,1,4,B,1,發長球,,,2.0,,,,1.0,3.0,519.0,313.0,,,,,8.0,677.0,550.0,8.0,592.0,338.0,0
5,2.0,00:08:53,15999.0,1,4,A,2,長球,,,1.0,3.0,519.0,313.0,1.0,9.0,507.0,621.0,,,,,5.0,512.0,329.0,8.0,633.0,561.0,0
5,3.0,00:08:54,16043.0,1,4,B,2,殺球,,,1.0,9.0,507.0,621.0,2.0,6.0,794.0,344.0,,,,,9.0,541.0,630.0,8.0,610.0,348.0,0
5,4.0,00:08:55,16061.0,1,4,A,2,擋小球,,1.0,2.0,6.0,794.0,344.0,2.0,1.0,820.0,491.0,,,,,8.0,588.0,364.0,9.0,544.0,632.0,0
5,5.0,00:08:56,16092.0,1,4,B,2,挑球,,,2.0,1.0,820.0,491.0,1.0,3.0,511.0,317.0,,,,,8.0,755.0,518.0,8.0,664.0,349.0,0
5,6.0,00:08:57,16127.0,1,4,A,2,過渡切球,,,1.0,3.0,511.0,317.0,2.0,1.0,805.0,486.0,,,,,9.0,562.0,321.0,8.0,643.0,555.0,0
5,7.0,00:08:58,16155.0,1,4,B,2,放小球,,,2.0,1.0,805.0,486.0,2.0,2.0,843.0,412.0,,,,,7.0,742.0,503.0,8.0,615.0,327.0,0
5,8.0,00:08:59,16183.0,1,4,A,2,挑球,,1.0,2.0,2.0,843.0,412.0,2.0,4.0,376.0,626.0,,,,,2.0,785.0,390.0,8.0,706.0,527.0,0
5,9.0,00:09:00,16229.0,1,4,B,2,過渡切球,,1.0,2.0,4.0,376.0,626.0,2.0,7.0,744.0,405.0,,,,,4.0,442.0,638.0,8.0,596.0,358.0,0
5,10.0,00:09:01,16255.0,1,4,A,2,勾球,,1.0,2.0,7.0,744.0,405.0,2.0,2.0,432.0,476.0,,,,,7.0,695.0,393.0,8.0,589.0,608.0,0
5,11.0,00:09:02,16288.0,1,4,B,2,放小球,,1.0,2.0,2.0,432.0,476.0,2.0,1.0,471.0,413.0,,,,,2.0,473.0,498.0,8.0,593.0,364.0,0
5,12.0,00:09:03,16313.0,1,4,A,2,推球,,,2.0,1.0,471.0,413.0,1.0,8.0,519.0,547.0,,,,,1.0,481.0,411.0,8.0,523.0,519.0,0
5,13.0,00:09:04,16326.0,1,4,B,3,過渡切球,1.0,,1.0,8.0,519.0,547.0,2.0,8.0,663.0,599.0,未過網,對手未過網,A,,8.0,569.0,532.0,1.0,475.0,394.0,0
6,1.0,00:09:24,16931.0,2,4,A,1,發短球,,1.0,2.0,,,,2.0,7.0,565.0,496.0,,,,,8.0,657.0,373.0,8.0,516.0,574.0,0
6,2.0,00:09:25,16957.0,2,4,B,2,放小球,,1.0,2.0,7.0,565.0,496.0,2.0,1.0,459.0,394.0,,,,,8.0,567.0,523.0,8.0,623.0,364.0,0
6,3.0,00:09:26,16991.0,2,4,A,2,挑球,,,2.0,1.0,459.0,394.0,1.0,4.0,382.0,620.0,,,,,5.0,491.0,384.0,8.0,623.0,534.0,0
6,4.0,00:09:27,17023.0,2,4,B,2,長球,,1.0,1.0,4.0,382.0,620.0,1.0,3.0,492.0,318.0,,,,,4.0,457.0,624.0,8.0,579.0,352.0,0
6,5.0,00:09:28,17056.0,2,4,A,2,殺球,,,1.0,3.0,492.0,318.0,2.0,8.0,490.0,552.0,,,,,5.0,518.0,324.0,8.0,620.0,572.0,0
6,6.0,00:09:28,17069.0,2,4,B,3,擋小球,,1.0,2.0,8.0,490.0,552.0,2.0,1.0,811.0,497.0,未過網,對手未過網,A,,8.0,672.0,560.0,3.0,461.0,313.0,0
7,1.0,00:09:49,17680.0,3,4,A,1,未知球種,,,2.0,,,,,,,,,,,1.0,,,,,,,0
7,2.0,00:09:49,17680.0,3,4,B,2,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
7,3.0,00:09:50,17703.0,3,4,A,2,防守回抽,,,2.0,,,,1.0,8.0,495.0,543.0,,,,,8.0,603.0,360.0,8.0,743.0,558.0,0
