rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:21:48,39248.0,0,1,B,1,發短球,,1.0,2.0,,,,2.0,7.0,679.0,480.0,,,,,8.0,623.0,373.0,8.0,720.0,555.0,0
1,2.0,00:21:49,39271.0,0,1,A,2,放小球,,,2.0,7.0,679.0,480.0,2.0,7.0,584.0,404.0,,,,,8.0,642.0,508.0,8.0,612.0,367.0,0
1,3.0,00:21:49,39296.0,0,1,B,2,挑球,,,2.0,7.0,584.0,404.0,1.0,6.0,391.0,607.0,,,,,7.0,614.0,400.0,8.0,626.0,527.0,0
1,4.0,00:21:50,39329.0,0,1,A,2,後場抽平球,,1.0,1.0,6.0,391.0,607.0,1.0,5.0,465.0,353.0,,,,,6.0,472.0,612.0,8.0,589.0,378.0,0
1,5.0,00:21:51,39345.0,0,1,B,2,點扣,,,1.0,5.0,465.0,353.0,2.0,6.0,442.0,568.0,,,,,8.0,574.0,367.0,8.0,563.0,593.0,0
1,6.0,00:21:51,39358.0,0,1,A,2,擋小球,,1.0,2.0,6.0,442.0,568.0,1.0,1.0,482.0,407.0,,,,,8.0,631.0,568.0,5.0,497.0,346.0,0
1,7.0,00:21:52,39378.0,0,1,B,2,撲球,,,1.0,1.0,482.0,407.0,2.0,8.0,714.0,550.0,,,,,7.0,517.0,410.0,8.0,578.0,562.0,0
1,8.0,00:21:52,39388.0,0,1,A,3,防守回抽,,,2.0,8.0,714.0,550.0,2.0,12.0,852.0,313.0,出界,對手出界,B,,8.0,623.0,562.0,7.0,525.0,409.0,0
2,1.0,00:22:06,39806.0,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7.0,628.0,485.0,,,,,8.0,637.0,376.0,8.0,504.0,568.0,0
2,2.0,00:22:07,39820.0,0,2,A,2,放小球,,1.0,2.0,7.0,628.0,485.0,2.0,7.0,752.0,421.0,,,,,7.0,598.0,504.0,8.0,636.0,378.0,0
2,3.0,00:22:08,39844.0,0,2,B,2,推球,,1.0,2.0,7.0,752.0,421.0,1.0,6.0,478.0,589.0,,,,,7.0,706.0,411.0,8.0,641.0,513.0,0
2,4.0,00:22:09,39870.0,0,2,A,2,長球,1.0,,1.0,6.0,478.0,589.0,1.0,3.0,482.0,321.0,,,,,8.0,583.0,570.0,8.0,636.0,385.0,0
2,5.0,00:22:10,39913.0,0,2,B,2,殺球,,,1.0,3.0,482.0,321.0,2.0,6.0,420.0,557.0,,,,,5.0,517.0,327.0,8.0,654.0,551.0,0
2,6.0,00:22:10,39926.0,0,2,A,3,擋小球,,1.0,2.0,6.0,420.0,557.0,2.0,2.0,472.0,450.0,掛網,對手掛網,B,,8.0,655.0,548.0,3.0,482.0,322.0,0
3,1.0,00:22:27,40413.0,0,3,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
3,2.0,00:22:28,40447.0,0,3,A,2,推球,,,2.0,,,,1.0,3.0,465.0,314.0,,,,,7.0,677.0,490.0,8.0,613.0,380.0,0
3,3.0,00:22:29,40484.0,0,3,B,2,長球,,,1.0,3.0,465.0,314.0,1.0,6.0,453.0,571.0,,,,,3.0,522.0,320.0,8.0,604.0,537.0,0
3,4.0,00:22:30,40511.0,0,3,A,2,殺球,1.0,,1.0,6.0,453.0,571.0,2.0,8.0,702.0,355.0,,,,,8.0,496.0,577.0,8.0,556.0,348.0,0
3,5.0,00:22:30,40524.0,0,3,B,2,擋小球,,1.0,2.0,8.0,702.0,355.0,2.0,1.0,783.0,479.0,,,,,8.0,544.0,357.0,6.0,478.0,596.0,0
