rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:00,10827.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,759.0,490.0,,,,,8.0,628.0,364.0,8.0,766.0,557.0,0
1,2.0,00:06:01,10849.0,1,0,B,2,放小球,,,2.0,7.0,759.0,490.0,2.0,7.0,648.0,414.0,,,,,8.0,703.0,506.0,8.0,638.0,368.0,0
1,3.0,00:06:02,10873.0,1,0,A,2,挑球,,,2.0,7.0,648.0,414.0,1.0,3.0,898.0,634.0,,,,,7.0,634.0,394.0,8.0,647.0,523.0,0
1,4.0,00:06:03,10917.0,1,0,B,2,長球,,,1.0,3.0,898.0,634.0,1.0,4.0,806.0,319.0,,,,,3.0,830.0,656.0,8.0,642.0,363.0,0
1,5.0,00:06:04,10943.0,1,0,A,2,切球,,1.0,1.0,4.0,806.0,319.0,2.0,1.0,867.0,473.0,,,,,6.0,793.0,348.0,8.0,765.0,601.0,0
1,6.0,00:06:05,10966.0,1,0,B,2,放小球,,,2.0,1.0,867.0,473.0,2.0,2.0,823.0,416.0,,,,,1.0,801.0,494.0,8.0,740.0,346.0,0
1,7.0,00:06:06,10994.0,1,0,A,2,挑球,,1.0,2.0,2.0,823.0,416.0,1.0,9.0,491.0,637.0,,,,,2.0,774.0,397.0,8.0,709.0,512.0,0
1,8.0,00:06:08,11041.0,1,0,B,3,切球,,,1.0,9.0,491.0,637.0,2.0,10.0,859.0,391.0,出界,對手出界,A,,9.0,533.0,640.0,8.0,601.0,357.0,0
2,1.0,00:06:20,11419.0,1,1,A,1,未知球種,,,2.0,,,,2.0,2.0,847.0,399.0,,,,1.0,8.0,755.0,561.0,9.0,700.0,322.0,0
2,2.0,00:06:21,11431.0,1,1,B,2,放小球,,1.0,2.0,2.0,847.0,399.0,2.0,2.0,806.0,402.0,,,,,7.0,577.0,490.0,8.0,628.0,360.0,0
2,3.0,00:06:21,11455.0,1,1,A,2,挑球,,1.0,2.0,2.0,806.0,402.0,1.0,9.0,545.0,636.0,,,,,7.0,734.0,401.0,8.0,627.0,544.0,0
2,4.0,00:06:23,11495.0,1,1,B,2,長球,,,1.0,9.0,545.0,636.0,1.0,5.0,486.0,325.0,,,,,8.0,628.0,599.0,8.0,606.0,352.0,0
2,5.0,00:06:24,11530.0,1,1,A,2,切球,,,1.0,5.0,486.0,325.0,2.0,2.0,483.0,496.0,,,,,3.0,501.0,316.0,8.0,622.0,571.0,0
2,6.0,00:06:25,11553.0,1,1,B,2,放小球,,1.0,2.0,2.0,483.0,496.0,2.0,7.0,565.0,407.0,,,,,8.0,535.0,506.0,8.0,550.0,330.0,0
2,7.0,00:06:26,11583.0,1,1,A,2,放小球,,,2.0,7.0,565.0,407.0,2.0,7.0,640.0,467.0,,,,,7.0,598.0,391.0,8.0,648.0,527.0,0
2,8.0,00:06:26,11607.0,1,1,B,2,挑球,,1.0,2.0,7.0,640.0,467.0,1.0,9.0,692.0,315.0,,,,,7.0,657.0,463.0,8.0,627.0,384.0,0
2,9.0,00:06:28,11651.0,1,1,A,2,殺球,,,1.0,9.0,692.0,315.0,2.0,5.0,860.0,572.0,,,,,8.0,684.0,331.0,8.0,671.0,543.0,0
2,10.0,00:06:28,11666.0,1,1,B,2,擋小球,,,2.0,5.0,860.0,572.0,2.0,2.0,848.0,398.0,,,,,8.0,734.0,541.0,8.0,689.0,324.0,0
2,11.0,00:06:29,11696.0,1,1,A,2,放小球,,1.0,2.0,2.0,848.0,398.0,2.0,1.0,841.0,470.0,,,,,6.0,792.0,385.0,8.0,735.0,544.0,0
2,12.0,00:06:30,11724.0,1,1,B,2,放小球,,,2.0,1.0,841.0,470.0,2.0,2.0,827.0,415.0,,,,,1.0,824.0,490.0,8.0,733.0,372.0,0
2,13.0,00:06:31,11750.0,1,1,A,2,推球,,1.0,2.0,2.0,827.0,415.0,1.0,9.0,512.0,630.0,,,,,2.0,773.0,415.0,7.0,744.0,502.0,0
2,14.0,00:06:32,11782.0,1,1,B,2,長球,,1.0,1.0,9.0,512.0,630.0,1.0,9.0,595.0,320.0,,,,,8.0,555.0,607.0,8.0,645.0,367.0,0
2,15.0,00:06:33,11818.0,1,1,A,2,切球,,,1.0,9.0,595.0,320.0,2.0,1.0,840.0,499.0,,,,,8.0,591.0,325.0,8.0,645.0,561.0,0
2,16.0,00:06:34,11843.0,1,1,B,2,挑球,,,2.0,1.0,840.0,499.0,1.0,6.0,806.0,332.0,,,,,5.0,812.0,508.0,8.0,615.0,328.0,0
2,17.0,00:06:35,11867.0,1,1,A,3,長球,,1.0,1.0,6.0,806.0,332.0,2.0,13.0,855.0,668.0,出界,對手出界,B,,6.0,764.0,347.0,8.0,784.0,540.0,0
3,1.0,00:06:52,12384.0,1,2,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
3,2.0,00:06:52,12386.0,1,2,A,2,放小球,,,2.0,,,,2.0,7.0,771.0,456.0,,,,,7.0,740.0,394.0,8.0,680.0,545.0,0
3,3.0,00:06:53,12414.0,1,2,B,2,放小球,,,2.0,7.0,771.0,456.0,2.0,7.0,767.0,431.0,,,,,7.0,746.0,488.0,8.0,698.0,369.0,0
3,4.0,00:06:54,12440.0,1,2,A,2,推球,,1.0,2.0,7.0,767.0,431.0,1.0,4.0,474.0,631.0,,,,,7.0,717.0,410.0,8.0,691.0,509.0,0
3,5.0,00:06:55,12473.0,1,2,B,2,點扣,1.0,,1.0,4.0,474.0,631.0,2.0,5.0,456.0,347.0,,,,,8.0,607.0,594.0,8.0,614.0,358.0,0
3,6.0,00:06:56,12486.0,1,2,A,2,擋小球,,,2.0,5.0,456.0,347.0,2.0,7.0,546.0,485.0,,,,,8.0,566.0,350.0,8.0,546.0,612.0,0
3,7.0,00:06:57,12518.0,1,2,B,2,勾球,,1.0,2.0,7.0,546.0,485.0,2.0,2.0,787.0,415.0,,,,,8.0,546.0,519.0,8.0,548.0,348.0,0
3,8.0,00:06:58,12546.0,1,2,A,2,挑球,,1.0,2.0,2.0,787.0,415.0,1.0,9.0,522.0,636.0,,,,,7.0,739.0,412.0,8.0,632.0,540.0,0
3,9.0,00:06:59,12587.0,1,2,B,2,長球,1.0,,1.0,9.0,522.0,636.0,1.0,3.0,510.0,318.0,,,,,9.0,606.0,626.0,8.0,621.0,361.0,0
3,10.0,00:07:00,12624.0,1,2,A,2,切球,,,1.0,3.0,510.0,318.0,2.0,6.0,472.0,514.0,,,,,9.0,534.0,315.0,8.0,634.0,565.0,0
3,11.0,00:07:01,12649.0,1,2,B,2,放小球,,1.0,2.0,6.0,472.0,514.0,2.0,7.0,600.0,414.0,,,,,8.0,516.0,535.0,8.0,556.0,341.0,0
3,12.0,00:07:02,12677.0,1,2,A,2,挑球,,,2.0,7.0,600.0,414.0,1.0,9.0,500.0,616.0,,,,,7.0,628.0,412.0,8.0,627.0,520.0,0
3,13.0,00:07:03,12713.0,1,2,B,2,切球,,,1.0,9.0,500.0,616.0,2.0,6.0,849.0,385.0,,,,,9.0,584.0,617.0,8.0,592.0,353.0,0
3,14.0,00:07:04,12742.0,1,2,A,2,放小球,,1.0,2.0,6.0,849.0,385.0,2.0,1.0,834.0,455.0,,,,,6.0,796.0,382.0,8.0,629.0,578.0,0
3,15.0,00:07:05,12771.0,1,2,B,2,勾球,,,2.0,1.0,834.0,455.0,2.0,1.0,474.0,418.0,,,,,1.0,797.0,483.0,8.0,714.0,371.0,0
3,16.0,00:07:06,12801.0,1,2,A,2,挑球,,,2.0,1.0,474.0,418.0,1.0,9.0,489.0,615.0,,,,,7.0,524.0,392.0,8.0,681.0,510.0,0
3,17.0,00:07:07,12834.0,1,2,B,2,殺球,,,1.0,9.0,489.0,615.0,2.0,8.0,622.0,346.0,,,,,8.0,538.0,595.0,8.0,580.0,354.0,0
3,18.0,00:07:08,12847.0,1,2,A,3,擋小球,,,2.0,8.0,622.0,346.0,2.0,7.0,644.0,434.0,未過網,對手未過網,B,,8.0,586.0,351.0,8.0,492.0,610.0,0
4,1.0,00:07:35,13653.0,1,3,B,1,未知球種,,,2.0,,,,,,,,,,,1.0,,,,,,,0
4,2.0,00:07:35,13653.0,1,3,A,2,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
4,3.0,00:07:37,13713.0,1,3,B,3,勾球,,1.0,2.0,,,,2.0,2.0,810.0,414.0,對手落地致勝,落地致勝,B,,7.0,541.0,497.0,8.0,617.0,372.0,0
5,1.0,00:07:53,14215.0,1,4,B,1,發短球,,1.0,2.0,,,,2.0,7.0,719.0,408.0,,,,,8.0,625.0,536.0,8.0,725.0,338.0,0
5,2.0,00:07:54,14237.0,1,4,A,2,放小球,,1.0,2.0,7.0,719.0,408.0,2.0,2.0,442.0,482.0,,,,,7.0,690.0,395.0,8.0,664.0,548.0,0
5,3.0,00:07:55,14263.0,1,4,B,3,挑球,,1.0,2.0,2.0,442.0,482.0,2.0,3.0,455.0,316.0,落點判斷失誤,對手落點判斷失誤,B,,7.0,503.0,492.0,8.0,641.0,376.0,0
