rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:31:21,56459.0,1,0,A,1,發長球,,,2.0,,,,1.0,8.0,684.0,618.0,,,,,8.0,603.0,352.0,8.0,734.0,561.0,0
1,2.0,00:31:23,56516.0,1,0,B,2,殺球,,,1.0,8.0,684.0,618.0,2.0,5.0,489.0,369.0,,,,,9.0,689.0,640.0,8.0,619.0,359.0,0
1,3.0,00:31:24,56536.0,1,0,A,2,擋小球,,,2.0,5.0,489.0,369.0,2.0,1.0,790.0,472.0,,,,,8.0,539.0,371.0,8.0,668.0,613.0,0
1,4.0,00:31:25,56564.0,1,0,B,2,推球,,,2.0,1.0,790.0,472.0,1.0,8.0,717.0,324.0,,,,,7.0,737.0,507.0,8.0,618.0,360.0,0
1,5.0,00:31:26,56591.0,1,0,A,2,點扣,1.0,,1.0,8.0,717.0,324.0,2.0,8.0,550.0,535.0,,,,,8.0,670.0,337.0,8.0,720.0,536.0,0
1,6.0,00:31:26,56603.0,1,0,B,2,擋小球,,1.0,2.0,8.0,550.0,535.0,2.0,6.0,771.0,376.0,,,,,8.0,712.0,558.0,8.0,643.0,334.0,0
1,7.0,00:31:27,56633.0,1,0,A,2,勾球,,1.0,2.0,6.0,771.0,376.0,2.0,7.0,518.0,465.0,,,,,8.0,691.0,381.0,8.0,681.0,559.0,0
1,8.0,00:31:28,56660.0,1,0,B,2,勾球,,1.0,2.0,7.0,518.0,465.0,2.0,2.0,837.0,411.0,,,,,7.0,548.0,498.0,8.0,628.0,365.0,0
1,9.0,00:31:29,56687.0,1,0,A,2,挑球,,1.0,2.0,2.0,837.0,411.0,1.0,8.0,638.0,618.0,,,,,2.0,769.0,400.0,8.0,606.0,509.0,0
1,10.0,00:31:30,56725.0,1,0,B,2,殺球,,,1.0,8.0,638.0,618.0,2.0,5.0,472.0,365.0,,,,,9.0,647.0,634.0,8.0,660.0,382.0,0
1,11.0,00:31:31,56748.0,1,0,A,2,防守回抽,,,2.0,5.0,472.0,365.0,1.0,6.0,449.0,562.0,,,,,8.0,531.0,374.0,8.0,671.0,618.0,0
1,12.0,00:31:32,56770.0,1,0,B,2,過渡切球,,1.0,1.0,6.0,449.0,562.0,2.0,7.0,756.0,408.0,,,,,8.0,507.0,568.0,8.0,562.0,372.0,0
1,13.0,00:31:33,56796.0,1,0,A,2,推球,,1.0,2.0,7.0,756.0,408.0,1.0,8.0,755.0,584.0,,,,,7.0,716.0,391.0,8.0,622.0,550.0,0
1,14.0,00:31:33,56819.0,1,0,B,2,殺球,,,1.0,8.0,755.0,584.0,1.0,6.0,761.0,355.0,,,,,8.0,663.0,591.0,8.0,674.0,372.0,0
1,15.0,00:31:34,56831.0,1,0,A,2,擋小球,1.0,,1.0,6.0,761.0,355.0,1.0,1.0,786.0,506.0,,,,,8.0,623.0,373.0,8.0,748.0,605.0,0
1,16.0,00:31:35,56855.0,1,0,B,3,殺球,,,1.0,1.0,786.0,506.0,2.0,13.0,586.0,284.0,出界,對手出界,A,,8.0,769.0,546.0,8.0,634.0,366.0,0
