rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:30:00,45024.0,0,1,A,1,發長球,,1.0,2.0,,,,1.0,8.0,548.0,412.0,,,,,8.0,677.0,575.0,8.0,573.0,420.0,0
1,2.0,00:30:02,45052.0,0,1,B,2,切球,,,1.0,8.0,548.0,412.0,2.0,1.0,444.0,532.0,,,,,13.0,573.0,388.0,8.0,674.0,607.0,0
1,3.0,00:30:02,45073.0,0,1,A,2,勾球,,1.0,2.0,1.0,444.0,532.0,2.0,2.0,800.0,473.0,,,,,5.0,478.0,561.0,9.0,591.0,408.0,0
1,4.0,00:30:03,45099.0,0,1,B,2,推球,,1.0,2.0,2.0,800.0,473.0,2.0,4.0,878.0,657.0,,,,,8.0,743.0,448.0,8.0,688.0,573.0,0
1,5.0,00:30:05,45127.0,0,1,A,3,後場抽平球,,,2.0,4.0,878.0,657.0,2.0,2.0,848.0,502.0,未過網,對手未過網,B,,6.0,901.0,629.0,8.0,647.0,424.0,0
2,1.0,00:30:19,45498.0,1,1,B,1,未知球種,,,2.0,,,,2.0,2.0,848.0,502.0,,,,1.0,6.0,901.0,629.0,8.0,647.0,424.0,0
2,2.0,00:30:19,45498.0,1,1,A,2,挑球,,,2.0,2.0,848.0,502.0,1.0,8.0,749.0,411.0,,,,,7.0,559.0,540.0,8.0,649.0,437.0,0
2,3.0,00:30:21,45536.0,1,1,B,2,切球,1.0,,1.0,8.0,749.0,411.0,2.0,5.0,446.0,581.0,,,,,9.0,723.0,408.0,8.0,681.0,569.0,0
2,4.0,00:30:22,45555.0,1,1,A,2,放小球,,1.0,2.0,5.0,446.0,581.0,2.0,1.0,472.0,481.0,,,,,8.0,508.0,600.0,9.0,731.0,398.0,0
2,5.0,00:30:23,45580.0,1,1,B,2,勾球,,,2.0,1.0,472.0,481.0,2.0,2.0,837.0,519.0,,,,,8.0,527.0,457.0,8.0,541.0,573.0,0
2,6.0,00:30:24,45606.0,1,1,A,2,放小球,,,2.0,2.0,837.0,519.0,2.0,2.0,847.0,491.0,,,,,7.0,772.0,534.0,8.0,646.0,436.0,0
2,7.0,00:30:25,45628.0,1,1,B,2,推球,,1.0,2.0,2.0,847.0,491.0,1.0,8.0,576.0,631.0,,,,,2.0,793.0,476.0,7.0,736.0,543.0,0
2,8.0,00:30:26,45650.0,1,1,A,3,殺球,1.0,,1.0,8.0,576.0,631.0,2.0,3.0,451.0,401.0,對手落地致勝,落地致勝,A,,8.0,620.0,601.0,8.0,677.0,445.0,0
3,1.0,00:30:41,46049.0,1,2,A,1,未知球種,,,2.0,,,,2.0,3.0,451.0,401.0,,,,1.0,8.0,620.0,601.0,8.0,677.0,445.0,0
3,2.0,00:30:42,46059.0,1,2,B,2,挑球,,,2.0,3.0,451.0,401.0,1.0,8.0,512.0,642.0,,,,,8.0,733.0,451.0,8.0,668.0,565.0,0
3,3.0,00:30:43,46087.0,1,2,A,3,殺球,1.0,,1.0,8.0,512.0,642.0,2.0,15.0,410.0,419.0,出界,對手出界,B,,8.0,563.0,639.0,8.0,587.0,429.0,0
4,1.0,00:31:03,46594.0,2,2,B,1,未知球種,,,2.0,,,,,15.0,410.0,419.0,,,,1.0,8.0,563.0,639.0,8.0,587.0,429.0,0
5,1.0,00:31:20,47010.0,3,2,A,1,未知球種,,,2.0,,,,,,,,,,,1.0,,,,,,,0
6,1.0,00:31:48,47702.0,3,3,A,1,發短球,,1.0,2.0,,,,1.0,7.0,748.0,464.0,,,,,8.0,626.0,580.0,8.0,723.0,420.0,0
6,2.0,00:31:48,47720.0,3,3,B,2,放小球,,1.0,1.0,7.0,748.0,464.0,2.0,1.0,440.0,549.0,,,,,8.0,695.0,457.0,8.0,690.0,593.0,0
6,3.0,00:31:49,47739.0,3,3,A,2,挑球,,1.0,2.0,1.0,440.0,549.0,1.0,3.0,486.0,403.0,,,,,1.0,491.0,549.0,8.0,638.0,444.0,0
