rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:32:46,58984.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,583.0,399.0,,,,,8.0,659.0,528.0,8.0,576.0,362.0,0
1,2.0,00:32:46,59004.0,1,0,B,2,推球,,1.0,2.0,7.0,583.0,399.0,1.0,8.0,731.0,553.0,,,,,7.0,567.0,397.0,8.0,652.0,530.0,0
1,3.0,00:32:47,59020.0,1,0,A,2,平球,,,1.0,8.0,731.0,553.0,1.0,8.0,738.0,363.0,,,,,8.0,674.0,547.0,8.0,600.0,381.0,0
1,4.0,00:32:47,59035.0,1,0,B,3,平球,,1.0,1.0,8.0,738.0,363.0,2.0,7.0,716.0,436.0,掛網,對手掛網,A,,8.0,658.0,353.0,8.0,706.0,560.0,0
2,1.0,00:33:04,59524.0,2,0,A,1,發短球,,1.0,2.0,,,,1.0,7.0,675.0,399.0,,,,,8.0,616.0,529.0,8.0,716.0,367.0,0
2,2.0,00:33:04,59540.0,2,0,B,2,放小球,,,1.0,7.0,675.0,399.0,2.0,1.0,803.0,504.0,,,,,7.0,699.0,399.0,8.0,659.0,533.0,0
2,3.0,00:33:05,59562.0,2,0,A,2,挑球,,,2.0,1.0,803.0,504.0,1.0,4.0,752.0,315.0,,,,,5.0,787.0,509.0,8.0,666.0,373.0,0
2,4.0,00:33:06,59600.0,2,0,B,2,點扣,,,1.0,4.0,752.0,315.0,2.0,6.0,463.0,555.0,,,,,9.0,718.0,308.0,8.0,707.0,542.0,0
2,5.0,00:33:07,59615.0,2,0,A,2,擋小球,,,2.0,6.0,463.0,555.0,2.0,5.0,468.0,370.0,,,,,8.0,596.0,556.0,9.0,730.0,305.0,0
2,6.0,00:33:08,59645.0,2,0,B,2,放小球,,,2.0,5.0,468.0,370.0,2.0,2.0,432.0,463.0,,,,,5.0,514.0,360.0,7.0,528.0,502.0,0
