rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:07:05,12751.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,8.0,567.0,390.0,,,,,8.0,668.0,556.0,8.0,575.0,360.0,0
1,2.0,00:07:05,12773.0,1,0,B,2,挑球,,,2.0,8.0,567.0,390.0,2.0,7.0,770.0,468.0,,,,,8.0,583.0,372.0,8.0,643.0,548.0,0
1,3.0,00:07:06,12793.0,1,0,A,2,挑球,,,2.0,7.0,770.0,468.0,1.0,9.0,537.0,313.0,,,,,8.0,682.0,530.0,8.0,637.0,365.0,0
1,4.0,00:07:07,12827.0,1,0,B,2,過渡切球,,,1.0,9.0,537.0,313.0,2.0,2.0,478.0,490.0,,,,,9.0,550.0,313.0,8.0,635.0,550.0,0
1,5.0,00:07:08,12849.0,1,0,A,2,挑球,,1.0,2.0,2.0,478.0,490.0,1.0,9.0,664.0,323.0,,,,,8.0,514.0,520.0,8.0,606.0,332.0,0
1,6.0,00:07:09,12876.0,1,0,B,2,長球,1.0,,1.0,9.0,664.0,323.0,1.0,9.0,511.0,622.0,,,,,8.0,661.0,329.0,8.0,653.0,546.0,0
1,7.0,00:07:10,12916.0,1,0,A,2,點扣,1.0,,1.0,9.0,511.0,622.0,2.0,5.0,464.0,356.0,,,,,8.0,560.0,615.0,8.0,643.0,351.0,0
1,8.0,00:07:11,12931.0,1,0,B,3,擋小球,,,2.0,5.0,464.0,356.0,2.0,1.0,466.0,417.0,掛網,對手掛網,A,,8.0,583.0,355.0,8.0,600.0,618.0,0
2,1.0,00:07:24,13329.0,2,0,A,1,發短球,,,2.0,,,,2.0,1.0,466.0,417.0,,,,1.0,8.0,583.0,355.0,8.0,600.0,618.0,0
2,2.0,00:07:25,13364.0,2,0,B,2,放小球,,,2.0,1.0,466.0,417.0,2.0,1.0,798.0,458.0,,,,,8.0,717.0,372.0,8.0,661.0,541.0,0
2,3.0,00:07:26,13387.0,2,0,A,2,挑球,,,2.0,1.0,798.0,458.0,1.0,4.0,783.0,320.0,,,,,1.0,786.0,498.0,8.0,680.0,358.0,0
2,4.0,00:07:27,13422.0,2,0,B,2,切球,1.0,,1.0,4.0,783.0,320.0,2.0,2.0,461.0,461.0,,,,,9.0,739.0,319.0,8.0,683.0,555.0,0
2,5.0,00:07:28,13451.0,2,0,A,2,挑球,,1.0,2.0,2.0,461.0,461.0,1.0,9.0,731.0,310.0,,,,,8.0,495.0,510.0,8.0,699.0,339.0,0
2,6.0,00:07:29,13488.0,2,0,B,2,切球,1.0,,1.0,9.0,731.0,310.0,2.0,7.0,574.0,455.0,,,,,9.0,719.0,319.0,8.0,651.0,546.0,0
2,7.0,00:07:30,13516.0,2,0,A,2,挑球,,1.0,2.0,7.0,574.0,455.0,1.0,9.0,745.0,309.0,,,,,8.0,623.0,520.0,8.0,693.0,331.0,0
2,8.0,00:07:31,13548.0,2,0,B,2,點扣,1.0,,1.0,9.0,745.0,309.0,2.0,5.0,858.0,555.0,,,,,9.0,729.0,316.0,8.0,605.0,550.0,0
2,9.0,00:07:32,13562.0,2,0,A,2,擋小球,,,2.0,5.0,858.0,555.0,2.0,6.0,816.0,375.0,,,,,8.0,749.0,562.0,9.0,694.0,321.0,0
2,10.0,00:07:33,13590.0,2,0,B,2,挑球,,1.0,2.0,6.0,816.0,375.0,1.0,8.0,512.0,612.0,,,,,6.0,764.0,367.0,8.0,705.0,557.0,0
2,11.0,00:07:34,13620.0,2,0,A,3,殺球,1.0,,1.0,8.0,512.0,612.0,2.0,8.0,613.0,338.0,對手落地致勝,落地致勝,A,,8.0,549.0,606.0,8.0,658.0,353.0,0
3,1.0,00:07:54,14231.0,2,1,A,1,未知球種,,,2.0,,,,2.0,2.0,798.0,458.0,,,,1.0,8.0,717.0,372.0,8.0,661.0,541.0,0
