rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:07:09,12893.0,0,1,B,1,發短球,,1.0,2.0,,,,2.0,1.0,473.0,395.0,,,,,8.0,653.0,526.0,8.0,561.0,344.0,0
1,2.0,00:07:10,12917.0,0,1,A,2,放小球,,,2.0,1.0,473.0,395.0,2.0,2.0,441.0,465.0,,,,,7.0,543.0,389.0,8.0,622.0,529.0,0
1,3.0,00:07:11,12945.0,0,1,B,2,挑球,,1.0,2.0,2.0,441.0,465.0,1.0,4.0,782.0,312.0,,,,,7.0,504.0,496.0,8.0,566.0,371.0,0
1,4.0,00:07:12,12982.0,0,1,A,2,點扣,1.0,,1.0,4.0,782.0,312.0,2.0,5.0,806.0,550.0,,,,,9.0,676.0,320.0,8.0,672.0,557.0,0
1,5.0,00:07:13,12996.0,0,1,B,2,勾球,,,2.0,5.0,806.0,550.0,2.0,8.0,552.0,386.0,,,,,8.0,757.0,562.0,9.0,704.0,318.0,0
1,6.0,00:07:14,13024.0,0,1,A,2,挑球,,,2.0,8.0,552.0,386.0,1.0,9.0,731.0,635.0,,,,,8.0,580.0,386.0,8.0,621.0,537.0,0
1,7.0,00:07:15,13061.0,0,1,B,2,點扣,,,1.0,9.0,731.0,635.0,2.0,6.0,795.0,328.0,,,,,9.0,656.0,622.0,8.0,592.0,355.0,0
1,8.0,00:07:15,13076.0,0,1,A,2,擋小球,,1.0,2.0,6.0,795.0,328.0,2.0,1.0,821.0,494.0,,,,,8.0,594.0,346.0,9.0,692.0,641.0,0
1,9.0,00:07:16,13102.0,0,1,B,2,勾球,,,2.0,1.0,821.0,494.0,2.0,1.0,474.0,398.0,,,,,8.0,761.0,519.0,8.0,690.0,353.0,0
1,10.0,00:07:17,13130.0,0,1,A,2,挑球,,,2.0,1.0,474.0,398.0,1.0,4.0,376.0,632.0,,,,,7.0,513.0,395.0,8.0,635.0,529.0,0
1,11.0,00:07:19,13171.0,0,1,B,2,長球,1.0,,1.0,4.0,376.0,632.0,1.0,3.0,491.0,314.0,,,,,9.0,498.0,625.0,8.0,558.0,352.0,0
1,12.0,00:07:20,13210.0,0,1,A,3,點扣,,,1.0,3.0,491.0,314.0,2.0,15.0,917.0,548.0,出界,對手出界,B,,3.0,489.0,315.0,8.0,610.0,571.0,0
2,1.0,00:07:53,14199.0,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7.0,691.0,391.0,,,,,8.0,631.0,533.0,8.0,722.0,347.0,0
2,2.0,00:07:54,14220.0,0,2,A,2,放小球,,1.0,2.0,7.0,691.0,391.0,2.0,7.0,612.0,486.0,,,,,8.0,665.0,376.0,8.0,661.0,540.0,0
2,3.0,00:07:54,14243.0,0,2,B,2,推球,,,2.0,7.0,612.0,486.0,2.0,8.0,714.0,348.0,,,,,7.0,579.0,481.0,8.0,634.0,366.0,0
2,4.0,00:07:55,14253.0,0,2,A,2,推球,,1.0,2.0,8.0,714.0,348.0,1.0,5.0,859.0,545.0,,,,,8.0,602.0,364.0,7.0,568.0,490.0,0
2,5.0,00:07:55,14277.0,0,2,B,2,擋小球,,,1.0,5.0,859.0,545.0,2.0,2.0,816.0,390.0,,,,,8.0,736.0,545.0,8.0,624.0,337.0,0
2,6.0,00:07:56,14302.0,0,2,A,2,放小球,,1.0,2.0,2.0,816.0,390.0,2.0,7.0,728.0,482.0,,,,,6.0,770.0,376.0,8.0,743.0,548.0,0
2,7.0,00:07:57,14323.0,0,2,B,2,推球,,,2.0,7.0,728.0,482.0,1.0,8.0,529.0,331.0,,,,,7.0,714.0,496.0,8.0,687.0,358.0,0
2,8.0,00:07:58,14341.0,0,2,A,2,擋小球,,,1.0,8.0,529.0,331.0,2.0,2.0,446.0,471.0,,,,,8.0,632.0,351.0,8.0,693.0,519.0,0
