rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:28,11659.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7.0,769.0,499.0,,,,,8.0,620.0,370.0,8.0,745.0,553.0,0
1,2.0,00:06:29,11681.0,1,0,B,2,放小球,,,2.0,7.0,769.0,499.0,2.0,7.0,629.0,398.0,,,,,7.0,693.0,507.0,8.0,625.0,373.0,0
1,3.0,00:06:30,11704.0,1,0,A,2,挑球,,1.0,2.0,7.0,629.0,398.0,1.0,6.0,444.0,616.0,,,,,7.0,599.0,392.0,8.0,650.0,515.0,0
1,4.0,00:06:31,11740.0,1,0,B,2,過渡切球,,1.0,1.0,6.0,444.0,616.0,2.0,8.0,663.0,365.0,,,,,9.0,487.0,622.0,8.0,575.0,358.0,0
1,5.0,00:06:31,11758.0,1,0,A,2,挑球,,1.0,2.0,8.0,663.0,365.0,1.0,4.0,451.0,623.0,,,,,8.0,605.0,375.0,8.0,588.0,585.0,0
1,6.0,00:06:33,11793.0,1,0,B,2,過渡切球,,1.0,1.0,4.0,451.0,623.0,2.0,5.0,483.0,376.0,,,,,8.0,514.0,611.0,8.0,587.0,349.0,0
1,7.0,00:06:33,11817.0,1,0,A,2,放小球,,,2.0,5.0,483.0,376.0,2.0,2.0,447.0,491.0,,,,,8.0,536.0,376.0,8.0,607.0,556.0,0
1,8.0,00:06:34,11842.0,1,0,B,2,勾球,,1.0,2.0,2.0,447.0,491.0,2.0,7.0,756.0,395.0,,,,,2.0,492.0,507.0,8.0,572.0,373.0,0
1,9.0,00:06:35,11867.0,1,0,A,2,挑球,,1.0,2.0,7.0,756.0,395.0,1.0,4.0,413.0,629.0,,,,,7.0,710.0,398.0,8.0,587.0,523.0,0
1,10.0,00:06:36,11907.0,1,0,B,2,過渡切球,,1.0,1.0,4.0,413.0,629.0,2.0,5.0,486.0,386.0,,,,,9.0,488.0,634.0,8.0,604.0,352.0,0
1,11.0,00:06:37,11928.0,1,0,A,2,挑球,,,2.0,5.0,486.0,386.0,1.0,3.0,875.0,633.0,,,,,8.0,535.0,380.0,8.0,573.0,572.0,0
1,12.0,00:06:38,11965.0,1,0,B,2,切球,,,1.0,3.0,875.0,633.0,2.0,6.0,839.0,379.0,,,,,8.0,786.0,616.0,8.0,625.0,357.0,0
1,13.0,00:06:39,11991.0,1,0,A,2,勾球,,1.0,2.0,6.0,839.0,379.0,2.0,2.0,488.0,491.0,,,,,6.0,802.0,379.0,8.0,713.0,583.0,0
1,14.0,00:06:40,12017.0,1,0,B,2,放小球,,1.0,2.0,2.0,488.0,491.0,2.0,1.0,494.0,407.0,,,,,7.0,551.0,499.0,8.0,670.0,359.0,0
1,15.0,00:06:41,12045.0,1,0,A,2,挑球,,,2.0,1.0,494.0,407.0,1.0,4.0,444.0,632.0,,,,,7.0,527.0,407.0,7.0,580.0,506.0,0
1,16.0,00:06:42,12085.0,1,0,B,2,長球,,1.0,1.0,4.0,444.0,632.0,1.0,3.0,451.0,310.0,,,,,9.0,490.0,634.0,8.0,590.0,363.0,0
1,17.0,00:06:44,12125.0,1,0,A,2,切球,,,1.0,3.0,451.0,310.0,2.0,1.0,791.0,494.0,,,,,3.0,476.0,315.0,8.0,582.0,577.0,0
1,18.0,00:06:44,12148.0,1,0,B,2,挑球,,,2.0,1.0,791.0,494.0,1.0,4.0,785.0,318.0,,,,,8.0,742.0,511.0,9.0,531.0,324.0,0
1,19.0,00:06:45,12175.0,1,0,A,2,點扣,1.0,,1.0,4.0,785.0,318.0,2.0,8.0,683.0,557.0,,,,,9.0,694.0,321.0,8.0,716.0,544.0,0
1,20.0,00:06:46,12187.0,1,0,B,3,擋小球,,,2.0,8.0,683.0,557.0,2.0,7.0,524.0,450.0,掛網,對手掛網,A,,8.0,732.0,563.0,8.0,710.0,326.0,0
2,1.0,00:07:03,12712.0,2,0,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
2,2.0,00:07:04,12735.0,2,0,B,2,推球,,1.0,2.0,,,,1.0,9.0,535.0,314.0,,,,,8.0,631.0,514.0,8.0,618.0,359.0,0
2,3.0,00:07:05,12765.0,2,0,A,2,點扣,,,1.0,9.0,535.0,314.0,2.0,6.0,436.0,552.0,,,,,9.0,592.0,321.0,8.0,585.0,537.0,0
2,4.0,00:07:05,12778.0,2,0,B,2,防守回抽,,1.0,2.0,6.0,436.0,552.0,2.0,8.0,642.0,346.0,,,,,8.0,522.0,544.0,9.0,589.0,319.0,0
2,5.0,00:07:06,12790.0,2,0,A,2,平球,,1.0,2.0,8.0,642.0,346.0,2.0,8.0,724.0,540.0,,,,,8.0,565.0,346.0,8.0,523.0,547.0,0
2,6.0,00:07:06,12805.0,2,0,B,2,平球,,,2.0,8.0,724.0,540.0,1.0,8.0,743.0,338.0,,,,,8.0,643.0,544.0,8.0,552.0,357.0,0
2,7.0,00:07:07,12820.0,2,0,A,2,擋小球,,1.0,1.0,8.0,743.0,338.0,2.0,1.0,807.0,500.0,,,,,8.0,607.0,357.0,8.0,663.0,549.0,0
2,8.0,00:07:07,12837.0,2,0,B,2,勾球,,,2.0,1.0,807.0,500.0,2.0,1.0,498.0,395.0,,,,,8.0,781.0,531.0,8.0,706.0,362.0,0
2,9.0,00:07:08,12862.0,2,0,A,2,挑球,,,2.0,1.0,498.0,395.0,1.0,9.0,797.0,632.0,,,,,7.0,545.0,391.0,8.0,711.0,556.0,0
2,10.0,00:07:09,12894.0,2,0,B,2,點扣,,,1.0,9.0,797.0,632.0,2.0,5.0,472.0,345.0,,,,,9.0,759.0,637.0,8.0,600.0,363.0,0
2,11.0,00:07:10,12912.0,2,0,A,2,擋小球,,,2.0,5.0,472.0,345.0,2.0,2.0,487.0,500.0,,,,,8.0,581.0,350.0,9.0,795.0,643.0,0
2,12.0,00:07:11,12946.0,2,0,B,2,挑球,,1.0,2.0,2.0,487.0,500.0,1.0,9.0,555.0,317.0,,,,,7.0,535.0,508.0,8.0,530.0,351.0,0
2,13.0,00:07:12,12985.0,2,0,A,2,點扣,,,1.0,9.0,555.0,317.0,2.0,5.0,808.0,522.0,,,,,9.0,585.0,311.0,8.0,615.0,517.0,0
2,14.0,00:07:13,13000.0,2,0,B,2,擋小球,,,2.0,5.0,808.0,522.0,2.0,2.0,788.0,393.0,,,,,8.0,682.0,531.0,9.0,556.0,308.0,0
2,15.0,00:07:14,13029.0,2,0,A,2,挑球,,1.0,2.0,2.0,788.0,393.0,1.0,6.0,470.0,604.0,,,,,8.0,748.0,389.0,8.0,759.0,525.0,0
2,16.0,00:07:15,13059.0,2,0,B,2,長球,,1.0,1.0,6.0,470.0,604.0,1.0,9.0,545.0,320.0,,,,,8.0,506.0,606.0,8.0,643.0,357.0,0
2,17.0,00:07:16,13083.0,2,0,A,2,點扣,,,1.0,9.0,545.0,320.0,2.0,5.0,800.0,544.0,,,,,8.0,582.0,329.0,8.0,586.0,574.0,0
2,18.0,00:07:16,13101.0,2,0,B,2,擋小球,,,2.0,5.0,800.0,544.0,2.0,6.0,816.0,379.0,,,,,8.0,636.0,566.0,5.0,496.0,342.0,0
