rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:27:34,49647.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7.0,576.0,389.0,,,,,8.0,664.0,526.0,8.0,572.0,343.0,0
1,2.0,00:27:35,49665.0,0,1,B,2,放小球,,,2.0,7.0,576.0,389.0,2.0,1.0,809.0,483.0,,,,,8.0,578.0,380.0,8.0,677.0,528.0,0
1,3.0,00:27:36,49687.0,0,1,A,2,挑球,,,2.0,1.0,809.0,483.0,1.0,8.0,561.0,322.0,,,,,7.0,748.0,498.0,8.0,661.0,360.0,0
1,4.0,00:27:37,49720.0,0,1,B,2,殺球,,,1.0,8.0,561.0,322.0,2.0,6.0,479.0,549.0,,,,,9.0,558.0,315.0,8.0,673.0,555.0,0
1,5.0,00:27:37,49732.0,0,1,A,2,擋小球,,1.0,2.0,6.0,479.0,549.0,2.0,5.0,468.0,386.0,,,,,8.0,683.0,548.0,9.0,538.0,307.0,0
1,6.0,00:27:38,49757.0,0,1,B,2,放小球,,,2.0,5.0,468.0,386.0,2.0,2.0,448.0,457.0,,,,,5.0,512.0,377.0,8.0,604.0,545.0,0
1,7.0,00:27:39,49782.0,0,1,A,2,挑球,,1.0,2.0,2.0,448.0,457.0,1.0,8.0,720.0,325.0,,,,,7.0,503.0,483.0,8.0,587.0,370.0,0
1,8.0,00:27:40,49819.0,0,1,B,2,殺球,,,1.0,8.0,720.0,325.0,2.0,6.0,462.0,556.0,,,,,8.0,688.0,321.0,8.0,684.0,554.0,0
1,9.0,00:27:41,49835.0,0,1,A,2,放小球,,1.0,2.0,6.0,462.0,556.0,2.0,1.0,468.0,402.0,,,,,8.0,663.0,559.0,8.0,726.0,322.0,0
1,10.0,00:27:42,49867.0,0,1,B,2,放小球,,,2.0,1.0,468.0,402.0,2.0,2.0,441.0,462.0,,,,,8.0,517.0,374.0,8.0,535.0,523.0,0
1,11.0,00:27:43,49895.0,0,1,A,2,挑球,,1.0,2.0,2.0,441.0,462.0,1.0,3.0,522.0,317.0,,,,,2.0,476.0,472.0,8.0,581.0,365.0,0
1,12.0,00:27:44,49938.0,0,1,B,2,切球,,,1.0,3.0,522.0,317.0,2.0,6.0,476.0,529.0,,,,,9.0,541.0,307.0,8.0,645.0,552.0,0
1,13.0,00:27:45,49960.0,0,1,A,2,推球,,1.0,2.0,6.0,476.0,529.0,1.0,3.0,467.0,315.0,,,,,8.0,505.0,526.0,8.0,581.0,330.0,0
1,14.0,00:27:46,49992.0,0,1,B,2,後場抽平球,,,1.0,3.0,467.0,315.0,1.0,6.0,445.0,523.0,,,,,9.0,525.0,321.0,8.0,567.0,528.0,0
1,15.0,00:27:46,50006.0,0,1,A,2,擋小球,,1.0,1.0,6.0,445.0,523.0,2.0,1.0,445.0,388.0,,,,,8.0,498.0,529.0,8.0,537.0,326.0,0
1,16.0,00:27:47,50030.0,0,1,B,2,挑球,,,2.0,1.0,445.0,388.0,1.0,9.0,475.0,631.0,,,,,5.0,498.0,380.0,8.0,560.0,528.0,0
1,17.0,00:27:49,50071.0,0,1,A,2,切球,,,1.0,9.0,475.0,631.0,2.0,5.0,438.0,381.0,,,,,9.0,494.0,627.0,8.0,583.0,359.0,0
1,18.0,00:27:49,50095.0,0,1,B,2,放小球,,,2.0,5.0,438.0,381.0,2.0,7.0,615.0,459.0,,,,,5.0,474.0,357.0,8.0,583.0,605.0,0
1,19.0,00:27:50,50124.0,0,1,A,2,挑球,,,2.0,7.0,615.0,459.0,1.0,3.0,493.0,318.0,,,,,7.0,587.0,496.0,8.0,581.0,356.0,0
1,20.0,00:27:52,50162.0,0,1,B,2,切球,,,1.0,3.0,493.0,318.0,2.0,5.0,856.0,506.0,,,,,3.0,513.0,320.0,8.0,649.0,540.0,0
1,21.0,00:27:52,50188.0,0,1,A,2,放小球,,,2.0,5.0,856.0,506.0,2.0,6.0,768.0,386.0,,,,,1.0,793.0,504.0,8.0,613.0,322.0,0
1,22.0,00:27:53,50212.0,0,1,B,2,推球,,1.0,2.0,6.0,768.0,386.0,1.0,8.0,554.0,532.0,,,,,8.0,753.0,383.0,8.0,729.0,522.0,0
1,23.0,00:27:54,50226.0,0,1,A,2,平球,,1.0,1.0,8.0,554.0,532.0,2.0,5.0,483.0,336.0,,,,,8.0,681.0,527.0,8.0,723.0,374.0,0
1,24.0,00:27:54,50244.0,0,1,B,2,擋小球,,,2.0,5.0,483.0,336.0,2.0,2.0,446.0,461.0,,,,,8.0,564.0,348.0,8.0,539.0,541.0,0
1,25.0,00:27:55,50265.0,0,1,A,2,推球,,1.0,2.0,2.0,446.0,461.0,1.0,3.0,473.0,321.0,,,,,2.0,465.0,502.0,8.0,570.0,325.0,0
1,26.0,00:27:56,50283.0,0,1,B,3,平球,,,1.0,3.0,473.0,321.0,2.0,9.0,614.0,646.0,對手落地致勝,落地致勝,B,,8.0,564.0,344.0,8.0,502.0,527.0,0
2,1.0,00:28:31,51353.0,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7.0,527.0,480.0,,,,,8.0,646.0,367.0,8.0,543.0,542.0,0
2,2.0,00:28:32,51371.0,0,2,A,2,放小球,,1.0,2.0,7.0,527.0,480.0,2.0,7.0,759.0,387.0,,,,,7.0,539.0,499.0,8.0,632.0,342.0,0
2,3.0,00:28:33,51396.0,0,2,B,2,放小球,,1.0,2.0,7.0,759.0,387.0,2.0,7.0,677.0,457.0,,,,,8.0,694.0,379.0,8.0,629.0,518.0,0
2,4.0,00:28:33,51419.0,0,2,A,2,挑球,,,2.0,7.0,677.0,457.0,1.0,9.0,555.0,308.0,,,,,7.0,640.0,478.0,8.0,658.0,371.0,0
2,5.0,00:28:35,51452.0,0,2,B,2,殺球,,,1.0,9.0,555.0,308.0,2.0,8.0,784.0,555.0,,,,,9.0,592.0,313.0,8.0,647.0,554.0,0
2,6.0,00:28:35,51468.0,0,2,A,2,擋小球,,,2.0,8.0,784.0,555.0,2.0,2.0,800.0,388.0,,,,,8.0,710.0,557.0,9.0,559.0,304.0,0
2,7.0,00:28:36,51497.0,0,2,B,2,挑球,,1.0,2.0,2.0,800.0,388.0,1.0,3.0,913.0,643.0,,,,,8.0,757.0,368.0,8.0,707.0,544.0,0
2,8.0,00:28:38,51546.0,0,2,A,2,長球,,,1.0,3.0,913.0,643.0,1.0,6.0,756.0,323.0,,,,,3.0,840.0,644.0,8.0,653.0,350.0,0
2,9.0,00:28:39,51576.0,0,2,B,2,殺球,,,1.0,6.0,756.0,323.0,2.0,5.0,896.0,564.0,,,,,8.0,737.0,328.0,8.0,749.0,580.0,0
2,10.0,00:28:39,51590.0,0,2,A,3,擋小球,,,2.0,5.0,896.0,564.0,2.0,1.0,838.0,443.0,掛網,對手掛網,B,,8.0,749.0,549.0,8.0,731.0,323.0,0
3,1.0,00:29:04,52344.0,0,3,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
3,2.0,00:29:06,52391.0,0,3,A,2,平球,,,2.0,,,,1.0,8.0,728.0,355.0,,,,,7.0,701.0,504.0,8.0,618.0,348.0,0
3,3.0,00:29:06,52404.0,0,3,B,2,平球,,1.0,1.0,8.0,728.0,355.0,1.0,5.0,851.0,540.0,,,,,8.0,621.0,357.0,7.0,715.0,505.0,0
3,4.0,00:29:07,52419.0,0,3,A,2,平球,,,1.0,5.0,851.0,540.0,1.0,6.0,801.0,363.0,,,,,8.0,782.0,539.0,8.0,678.0,355.0,0
3,5.0,00:29:07,52434.0,0,3,B,3,撲球,,1.0,1.0,6.0,801.0,363.0,2.0,9.0,580.0,648.0,對手落地致勝,落地致勝,B,,8.0,729.0,364.0,5.0,785.0,513.0,0
4,1.0,00:29:22,52869.0,1,3,B,1,發短球,,1.0,2.0,,,,2.0,7.0,543.0,485.0,,,,,8.0,656.0,371.0,8.0,547.0,543.0,0
4,2.0,00:29:22,52884.0,1,3,A,2,挑球,,,2.0,7.0,543.0,485.0,1.0,9.0,538.0,304.0,,,,,8.0,540.0,519.0,8.0,627.0,363.0,0
4,3.0,00:29:24,52927.0,1,3,B,3,切球,,,1.0,9.0,538.0,304.0,2.0,7.0,694.0,439.0,掛網,對手掛網,A,,9.0,568.0,302.0,8.0,615.0,510.0,0
5,1.0,00:29:38,53362.0,2,3,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,0
5,2.0,00:29:39,53393.0,2,3,B,2,放小球,,,2.0,,,,2.0,7.0,743.0,444.0,,,,,8.0,682.0,383.0,8.0,672.0,532.0,0
5,3.0,00:29:40,53416.0,2,3,A,2,挑球,,,2.0,7.0,743.0,444.0,1.0,9.0,555.0,309.0,,,,,7.0,705.0,472.0,8.0,678.0,347.0,0
5,4.0,00:29:42,53462.0,2,3,B,2,殺球,,,1.0,9.0,555.0,309.0,2.0,5.0,802.0,542.0,,,,,9.0,550.0,316.0,8.0,684.0,526.0,0
5,5.0,00:29:42,53479.0,2,3,A,2,擋小球,,,2.0,5.0,802.0,542.0,2.0,7.0,762.0,391.0,,,,,8.0,744.0,534.0,9.0,571.0,310.0,0
5,6.0,00:29:43,53505.0,2,3,B,2,勾球,,1.0,2.0,7.0,762.0,391.0,2.0,7.0,507.0,484.0,,,,,8.0,743.0,382.0,8.0,686.0,536.0,0
5,7.0,00:29:44,53528.0,2,3,A,2,挑球,,1.0,2.0,7.0,507.0,484.0,1.0,9.0,748.0,315.0,,,,,7.0,533.0,493.0,8.0,648.0,367.0,0
5,8.0,00:29:45,53562.0,2,3,B,2,切球,,,1.0,9.0,748.0,315.0,2.0,5.0,857.0,506.0,,,,,8.0,711.0,323.0,8.0,687.0,545.0,0
5,9.0,00:29:46,53587.0,2,3,A,2,放小球,,,2.0,5.0,857.0,506.0,2.0,2.0,831.0,415.0,,,,,5.0,796.0,522.0,9.0,711.0,317.0,0
5,10.0,00:29:47,53615.0,2,3,B,2,放小球,,1.0,2.0,2.0,831.0,415.0,2.0,1.0,841.0,451.0,,,,,2.0,771.0,398.0,8.0,747.0,519.0,0
5,11.0,00:29:48,53641.0,2,3,A,2,挑球,,,2.0,1.0,841.0,451.0,1.0,4.0,785.0,317.0,,,,,1.0,810.0,466.0,8.0,718.0,377.0,0
5,12.0,00:29:49,53699.0,2,3,B,2,殺球,,,1.0,4.0,785.0,317.0,2.0,5.0,863.0,544.0,,,,,4.0,778.0,315.0,8.0,732.0,552.0,0
5,13.0,00:29:50,53719.0,2,3,A,2,放小球,,,2.0,5.0,863.0,544.0,2.0,2.0,780.0,392.0,,,,,5.0,796.0,560.0,8.0,713.0,329.0,0
5,14.0,00:29:51,53747.0,2,3,B,2,勾球,,1.0,2.0,2.0,780.0,392.0,2.0,2.0,468.0,463.0,,,,,7.0,751.0,391.0,8.0,701.0,514.0,0
5,15.0,00:29:52,53773.0,2,3,A,2,推球,,1.0,2.0,2.0,468.0,463.0,1.0,3.0,507.0,315.0,,,,,7.0,511.0,470.0,8.0,662.0,348.0,0
5,16.0,00:29:53,53806.0,2,3,B,2,切球,,,1.0,3.0,507.0,315.0,2.0,1.0,857.0,483.0,,,,,9.0,560.0,315.0,8.0,597.0,550.0,0
5,17.0,00:29:54,53833.0,2,3,A,2,勾球,,,2.0,1.0,857.0,483.0,2.0,1.0,483.0,392.0,,,,,5.0,806.0,513.0,8.0,624.0,331.0,0
